period,housing_status,year0,n,hp_ca_25y,hp_wolff_30y,mean_d_hous_ca,mean_d_hous_wolff,mean_d_dbt,mean_nw0,mean_HOUS
1999-2005,owner_free_clear,1999,5430,1.142301171053441,1.1610492831709052,26054.99913975626,29487.732977969958,1329.4936235211505,402550.5178821223,183097.5735960131
1999-2005,owner_mortgage,1999,5130,1.142301171053441,1.1610492831709052,23918.305887800605,27069.53139862852,12376.100535008412,183027.274815353,168082.28428997344
1999-2005,renter,1999,5373,1.142301171053441,1.1610492831709052,0,0,844.2165270586797,38588.62059356654,7354.127599850727
2005-2012,owner_free_clear,2005,1858,1.096919922428242,1.1108712664887208,29554.965374924854,33809.31763099892,2489.753907167145,597477.8581032443,304942.1071999608
2005-2012,owner_mortgage,2005,1777,1.096919922428242,1.1108712664887208,25079.594791019703,28689.73032415495,17126.74290268,287122.97708285035,258766.1459344259
2005-2012,renter,2005,1632,1.096919922428242,1.1108712664887208,0,0,989.311251923116,34400.87637372379,9598.135185079374
2012-2016,owner_free_clear,2012,4678,1.041078089041366,1.0471618461097028,19316.033581750686,22176.781454342035,2101.3615860945506,876009.5094903284,470227.17055555497
2012-2016,owner_mortgage,2012,4097,1.041078089041366,1.0471618461097028,17599.01933409666,20205.473547723468,12404.833952827361,399773.91253500583,428428.38468883716
2012-2016,renter,2012,3228,1.041078089041366,1.0471618461097028,0,0,772.8630766667301,71353.50383021952,18789.0952660892
2016-2019,owner_free_clear,2016,4290,0.9416774949078901,0.9335898922499837,-34797.029580599374,-39622.34612828271,1918.6738908306197,1112113.4006769825,596631.2579619776
2016-2019,owner_mortgage,2016,4471,0.9416774949078901,0.9335898922499837,-31960.272039690914,-36392.2144037473,11226.661713929796,512396.3768843294,547992.0999486462
2016-2019,renter,2016,3668,0.9416774949078901,0.9335898922499837,0,0,567.7129549506438,80077.34157841037,23995.434179089905
2019-2023,owner_free_clear,2019,3679,0.8913700848481313,0.8778668160482993,-70938.72416704071,-79756.78003503529,5250.485622236758,1218395.5683152995,653031.2029413418
2019-2023,owner_mortgage,2019,3722,0.8913700848481313,0.8778668160482993,-63775.48866824872,-71703.11675415897,39328.56457607933,568976.0162080798,587089.5561235428
2019-2023,renter,2019,3021,0.8913700848481313,0.8778668160482993,0,0,2318.3174015407963,99637.7537442274,30288.72065949495
