year,housing_status,n,w_share,mean_nw,mean_HOUS,mean_mort_pr,mean_DBT,mean_INC,debt_asset
1999,owner_mortgage,5130,0.326745646433934,183027.274815353,168082.28428997344,75551.23197374355,89769.0663874831,51957.986699904795,0.32906990611261844
1999,owner_free_clear,5430,0.2768640113009428,402550.5178821223,183097.5735960131,0,9643.376846689818,45502.12272679561,0.02339524425279109
1999,renter,5373,0.3963903422651232,38588.62059356654,7354.127599850727,0,6123.457808747473,24861.393001212477,0.1369531014337853
2005,owner_mortgage,1777,0.3413956619748453,287122.97708285035,258766.1459344259,106547.11384461843,132370.14670912953,65900.74387754394,0.3155478342829043
2005,owner_free_clear,1858,0.27783724243050034,597477.8581032443,304942.1071999608,0,19242.95190475314,58924.66519104388,0.03120204733241222
2005,renter,1632,0.38076709559465444,34400.87637372379,9598.135185079374,0,7646.245191055185,27216.202071238597,0.18184943241061496
2012,owner_mortgage,4097,0.3381051154348007,399773.91253500583,428428.38468883716,166443.60026097385,210832.656902844,81530.41218335267,0.34528396426678715
2012,owner_free_clear,4678,0.2872791573039946,876009.5094903284,470227.17055555497,0,35714.75829460095,77862.60392770049,0.0391727625956161
2012,renter,3228,0.37461572726120473,71353.50383021952,18789.0952660892,0,13135.587021591215,34400.061180557015,0.15547080562898138
2016,owner_mortgage,4471,0.3545043114097329,512396.3768843294,547992.0999486462,205279.25363301238,257294.31116621994,91597.70055987747,0.33428273871662345
2016,owner_free_clear,4290,0.2639787143304994,1112113.4006769825,596631.2579619776,0,43972.45500693657,83762.57431183633,0.03803563099638762
2016,renter,3668,0.3815169742597677,80077.34157841037,23995.434179089905,0,13010.930355452465,38998.011633103524,0.13976981294374488
2019,owner_mortgage,3722,0.3479023197720714,568976.0162080798,587089.5561235428,220861.90837817464,272783.5732877493,99100.59678701764,0.3240635172937355
2019,owner_free_clear,3679,0.27615560632442876,1218395.5683152995,653031.2029413418,0,36417.45497115918,82575.65523910032,0.029022216294646727
2019,renter,3021,0.3759420739034997,99637.7537442274,30288.72065949495,0,16079.887776837657,45019.81728953564,0.13895796324115797
2023,owner_mortgage,5832,0.3646025195359677,886152.3375093762,797890.7760368746,253390.61845787446,329622.8306337033,113216.94649374549,0.27112153568422886
2023,owner_free_clear,6781,0.28326009997120916,1554256.964318676,845915.8797631338,0,39554.03868623955,96182.64753806144,0.024817270436498277
2023,renter,3628,0.3521373804928233,173090.52670535867,34034.83532133091,0,19487.746401151424,80654.09411357963,0.10119389943004241
