period,age_band,n,mean_NIG,mean_inc,mean_nw,mean_LIQ,mean_resources,mean_coh,nig_over_nw,nig_over_inc,nig_over_resources,nig_over_coh,share_w_resources_le0,share_w_coh_le0,share_w_nw_le0,year0,year1,infl_cum
1999-2005,<35,3502,16459.719877991643,32069.316466716526,66844.65088011473,10217.94154411628,98913.96734683125,42287.258010832804,0.24623839995083527,0.5132544653726728,0.16640440495402833,0.3892359224089471,0.04102286833360319,0.0012741038866914934,0.18014241949950782,1999,2005,0.13786598249320847
1999-2005,35-44,3770,42392.85648907115,44156.894502519404,154738.28028241466,20899.048550705214,198895.1747849341,65055.943053224626,0.2739648935719038,0.9600506776275309,0.21314170409066316,0.6516369527437027,0.013062722946308596,1.7600370171250607e-4,0.061983134138685614,1999,2005,0.13786598249320847
1999-2005,45-54,3139,68697.64043742308,51273.37844495792,255760.9408080594,35524.8731804297,307034.3192530173,86798.25162538761,0.26860098426435847,1.3398305811108222,0.22374580341558337,0.7914634125801874,0.004614153857459347,2.7598911408746975e-4,0.04026476583513638,1999,2005,0.13786598249320847
1999-2005,55-64,2151,68725.15908715953,42463.13070341065,308084.7352191926,54284.49654716981,350547.86592260323,96747.62725058047,0.22307226301966485,1.618466607353553,0.19605071309244032,0.7103549827548581,8.217366125124648e-4,0.002517981913570305,0.02060167020193886,1999,2005,0.13786598249320847
1999-2005,65+,3371,33187.911387609114,28612.169681588253,242790.24330553878,57563.86758260431,271402.412987127,86176.03726419256,0.1366937605719348,1.1599229194060499,0.12228303728892513,0.3851176317827646,7.975864496335359e-5,5.067810531098478e-4,0.012995282141725736,1999,2005,0.13786598249320847
2005-2012,<35,1006,4511.192515192507,37382.124072218685,66784.47116927647,11098.766063492638,104166.59524149515,48480.89013571133,0.06754852492218036,0.1206778006107228,0.04330747784099078,0.0930509423932696,0.03785856696428654,0,0.21899365696877748,2005,2012,0.12938523774786126
2005-2012,35-44,1092,30739.49238773821,58655.84277308556,267262.30596593773,21069.433760700005,325918.1487390233,79725.27653378557,0.1150161908415769,0.524065309344479,0.09431660221030724,0.3855677110723045,0.01538995984574238,0.0010883303245072832,0.07197665776318786,2005,2012,0.12938523774786126
2005-2012,45-54,1145,39967.90857921806,61814.24518065871,362682.5619907212,50768.182909278294,424496.80717138,112582.42808993699,0.1102008002806614,0.6465808724575961,0.09415361412384432,0.35501018460260525,0.0018727689312701163,4.2731563877819245e-4,0.04075734015386912,2005,2012,0.12938523774786126
2005-2012,55-64,894,37380.35408162654,54116.71696520333,432860.12041861203,74716.57851336028,486976.8373838153,128833.29547856361,0.08635665961899332,0.6907358054565993,0.07676002473227461,0.29014513633896916,0.0044406246776668695,0,0.030792112349120576,2005,2012,0.12938523774786126
2005-2012,65+,1130,12968.656464547219,35842.20623528755,356841.9403438271,75901.43557747098,392684.14657911466,111743.64181275853,0.03634285939610002,0.36182640040107944,0.03302566853672154,0.11605722038554948,3.435046622048378e-4,0,0.008544754789801545,2005,2012,0.12938523774786126
2012-2016,<35,1978,5840.723638289045,47856.541840274156,128191.53923988559,18500.034509194327,176048.08108015975,66356.57634946848,0.04556247372425464,0.12204650427486019,0.03317686624274874,0.08802026806700719,0.063650140557498,0,0.19240565149615452,2012,2016,0.05883734586024669
2012-2016,35-44,1858,12963.978882339963,71390.77081158172,316265.9003060539,33737.42861204142,387656.6711176357,105128.19942362313,0.04099075768141485,0.18159180430416108,0.03344190839013319,0.12331590337717566,0.026855609116041044,0,0.09448926430563756,2012,2016,0.05883734586024669
2012-2016,45-54,2494,17941.529673551322,82322.50579793406,522928.9784395598,65311.413317667706,605251.484237494,147633.91911560175,0.034309687191345827,0.21794197710149849,0.029643099010578,0.1215271516263317,0.01163026408849191,0,0.06471744469243296,2012,2016,0.05883734586024669
2012-2016,55-64,2492,17897.67780569617,67854.59887251104,602671.2284983287,99207.87130380436,670525.8273708398,167062.4701763154,0.029697249444430387,0.2637651405076215,0.026692003611365315,0.1071316483397331,0.011096930852563384,0,0.043332314557851165,2012,2016,0.05883734586024669
2012-2016,65+,3181,9394.993001139846,48718.2111779044,544010.3593929573,99723.4431360376,592728.5705708617,148441.654313942,0.017269878852350165,0.19284355426828234,0.015850413608528187,0.0632908131114613,0.006078566202367177,3.4302834215740565e-4,0.02580701240653564,2012,2016,0.05883734586024669
2016-2019,<35,2123,-6284.980799484403,51338.10336740564,148744.64965880464,24223.668692756535,200082.75302621027,75561.77206016217,-0.0422534915635695,-0.12242331498897392,-0.03141190684566945,-0.08317672585127187,0.04398021013878937,0,0.17429921869911075,2016,2019,0.04363354037267086
2016-2019,35-44,1949,-27106.182279830788,81047.64163370419,365884.1220594541,39162.0246056392,446931.7636931582,120209.66623934338,-0.07408406280999039,-0.3344475142452326,-0.06064948719653004,-0.22549087047510008,0.009843302556698207,2.3766725789198113e-4,0.08233365713227715,2016,2019,0.04363354037267086
2016-2019,45-54,2314,-44413.71846185742,85289.75143386808,581583.6192811759,68625.5434803586,666873.370715044,153915.29491422666,-0.07636686624143878,-0.5207392179621358,-0.06659992798068326,-0.28855948647993773,0.011950210834390901,0,0.05840727959945152,2016,2019,0.04363354037267086
2016-2019,55-64,2622,-69032.34984499628,84988.95122180063,790784.4653741184,126662.48905068333,875773.416595919,211651.44027248392,-0.08729603686933483,-0.8122508732321985,-0.07882444081634843,-0.3261605484759413,0.008828960393096006,5.763950080031774e-4,0.039644377258445974,2016,2019,0.04363354037267086
2016-2019,65+,3421,-50384.90945703351,52895.15437105348,668835.2440516046,123992.5679538017,721730.3984226581,176887.72232485516,-0.07533231824300517,-0.9525430080719512,-0.0698112613340795,-0.2848411907554634,0.0029066340838517076,0,0.0261949441132201,2016,2019,0.04363354037267086
2019-2023,<35,1754,16015.089323715893,60625.03368106483,195438.9918090939,29606.882643897254,256064.0254901587,90231.91632496208,0.08194418716281314,0.26416627507322815,0.06254330061811592,0.17748807712383052,0.03907263666248467,8.526670463550342e-4,0.1623360321116637,2019,2023,0.14417497396220802
2019-2023,35-44,1634,36135.06818406572,85726.57681441327,396174.5599360247,45431.93923344241,481901.136750438,131158.5160478557,0.09120996610660943,0.42151535179450095,0.07498440121501306,0.27550683915088786,0.012019165492974089,0,0.08826196793279228,2019,2023,0.14417497396220802
2019-2023,45-54,1853,53457.32129825192,96930.87411879905,712391.3075903289,75517.39659175226,809322.1817091277,172448.2707105513,0.0750392666624076,0.5514994245562493,0.06605196608520067,0.30999047469706587,0.020519246349589695,9.385527384917852e-4,0.05709165404314389,2019,2023,0.14417497396220802
2019-2023,55-64,2224,30280.008435654363,83874.47194613585,787195.9166153785,138416.3321834406,871070.3885615143,222290.8041295764,0.038465657400569425,0.3610157862466207,0.034761838805769496,0.1362179985547388,0.013885861276699026,0,0.047288625551746274,2019,2023,0.14417497396220802
2019-2023,65+,2957,22531.5968349254,54205.83625179205,744227.0416478127,139469.52318668767,798432.8778996048,193675.3594384797,0.030275165472404223,0.4156673596965401,0.028219775836633983,0.11633693052255561,0.0030513726329579965,1.8074282529408566e-4,0.02334666230755755,2019,2023,0.14417497396220802
