period,geo_group,n,mean_NIG,mean_inc,mean_nw,mean_LIQ,mean_resources,mean_coh,nig_over_nw,nig_over_inc,nig_over_resources,nig_over_coh,share_w_resources_le0,share_w_coh_le0,share_w_nw_le0,year0,year1,infl_cum
1999-2005,West Coast,2378,51014.29447575946,39034.024534192074,224999.1415186353,30043.973879654073,264033.1660528274,69077.99841384614,0.22673106275622948,1.3069186455799144,0.19321169093413285,0.7385027888349186,0.009274036139789246,0.002622264568696806,0.08222638567697735,1999,2005,0.13786598249320847
1999-2005,Central,7636,38536.23192740956,39970.457473421746,182987.2349840436,33415.5478531867,222957.69245746534,73386.00532660844,0.21059519223168707,0.9641178601229202,0.17284100630329807,0.525116904182234,0.014589938313177264,5.518588116855792e-4,0.06975915677764194,1999,2005,0.13786598249320847
1999-2005,Oil Prairies,3067,64496.47105876999,40482.10621618241,205382.12248005826,32252.485099926602,245864.22869624067,72734.59131610901,0.3140315733421848,1.593209372910247,0.2623255583001211,0.8867372441602697,0.015481280249404233,7.088263311341542e-4,0.07893502852945798,1999,2005,0.13786598249320847
1999-2005,East Coast,2852,23215.67329194602,33702.735836853295,116061.9566068498,19338.86151357953,149764.6924437031,53041.59735043282,0.20002827774640383,0.6888364613581348,0.1550143288991352,0.43768804959936936,0.024144851892706286,0,0.0867324921305389,1999,2005,0.13786598249320847
2005-2012,West Coast,783,45850.74577110766,47719.36733097636,412341.63164552744,52282.43898251534,460060.9989765038,100001.8063134917,0.11119601382021885,0.9608414431208162,0.09966231841671357,0.4584991757786051,0.042819189013562325,0,0.11724910956126276,2005,2012,0.12938523774786126
2005-2012,Central,2366,20054.654609001336,49545.7398388128,262620.64486632147,41675.987861517446,312166.3847051343,91221.72770033024,0.07636358755881324,0.40477051456381846,0.0642434790919097,0.21984515218657422,0.007391008380645091,3.80868977437683e-4,0.07497435156850794,2005,2012,0.12938523774786126
2005-2012,East Coast,803,11176.834251763363,40782.569136522514,157220.99966387497,22038.728893413394,198003.5688003975,62821.29802993591,0.0710899579296562,0.2740591014349323,0.05644764041112033,0.17791472959436977,0.018115390667708307,0.0011964636138810838,0.10137640572536835,2005,2012,0.12938523774786126
2005-2012,Prairies unsplit,1315,25756.690618282442,53058.30119520308,273801.6160535241,45963.649101958494,326859.9172487272,99021.95029716157,0.09407063036927948,0.48544129830924676,0.078800395089994,0.26011092026553173,0.012727142221576431,0,0.08782177800652648,2005,2012,0.12938523774786126
2012-2016,West Coast,2041,14870.891335337907,60457.8036430903,551489.1762209629,70272.50942067282,611946.9798640532,130730.31306376314,0.0269649740675593,0.24597141211294227,0.024300947344558416,0.11375243420464154,0.0324758753876117,5.21718665010362e-4,0.11251838294740485,2012,2016,0.05883734586024669
2012-2016,Central,5822,11497.467177031376,61832.12686192518,389649.2551883367,61690.34360422295,451481.3820502619,123522.47046614814,0.02950722226191369,0.18594649352279125,0.025466093695423752,0.09307996458978131,0.024426411574974282,0,0.08103679986236963,2012,2016,0.05883734586024669
2012-2016,Oil Prairies,2166,18509.9625344554,74065.08721810073,486221.98700204166,68709.8062060673,560287.0742201424,142774.89342416805,0.03806895415936359,0.24991481451913772,0.03303656890571537,0.12964437997837894,0.01810370897661128,0,0.09018207763260981,2012,2016,0.05883734586024669
2012-2016,East Coast,1974,5111.123569707785,54414.90920261358,226585.43856074833,37521.697703857,281000.34776336193,91936.60690647057,0.022557158139433903,0.09392873469064421,0.018189029338896056,0.05559399831785678,0.030567693225756337,0,0.09254059747421918,2012,2016,0.05883734586024669
2016-2019,West Coast,1733,-40272.079176918705,66599.7170188644,729279.0004499591,95038.46555380114,795878.7174688234,161638.18257266557,-0.05522177267146204,-0.6046884428279421,-0.05060077407899309,-0.249149542118949,0.01472667220925715,0,0.0784508259061248,2016,2019,0.04363354037267086
2016-2019,Central,6235,-36708.18465515994,67116.1198933887,474266.74253527937,73894.81015058137,541382.8624286681,141010.93004397006,-0.07739987092269983,-0.5469354413435913,-0.06780448219303684,-0.2603215555256148,0.016223122529028175,0,0.07517648615739454,2016,2019,0.04363354037267086
2016-2019,Oil Prairies,2692,-56653.539281288846,87718.47511220259,556841.6134860438,86555.87597517838,644560.0885982463,174274.351087381,-0.10174085037685275,-0.6458564083429641,-0.08789489185483984,-0.32508248590684935,0.015890885015879323,6.140125154019538e-4,0.08064169180096004,2016,2019,0.04363354037267086
2016-2019,East Coast,1769,-18622.478327472538,59586.23461484462,261541.65404467538,51071.25065461382,321127.88865952,110657.48526945844,-0.07120272445891747,-0.3125298728447115,-0.05799084721419902,-0.16828936860552673,0.0178377533842897,8.671326708249115e-4,0.09282859965394408,2016,2019,0.04363354037267086
2019-2023,West Coast,1293,30541.802119203778,72711.13673780893,734727.7416358462,103039.8873674443,807438.8783736551,175751.02410525322,0.041568870192928195,0.42004297401284335,0.03782552826874169,0.17377880029258322,0.019776790586163367,0,0.0734500751164326,2019,2023,0.14417497396220802
2019-2023,Central,5231,27616.48148339982,73085.04263425303,554731.1203050098,86204.7918531739,627816.1629392627,159289.83448742694,0.04978354462647661,0.37786776182924064,0.04398816582565674,0.17337252921547636,0.01583159429109099,2.6976932003930425e-4,0.06778586890805503,2019,2023,0.14417497396220802
2019-2023,Oil Prairies,2276,54915.798253805675,86517.81028736022,629670.9627842566,100752.72358543875,716188.7730716167,187270.533872799,0.0872134837073969,0.6347340284203723,0.07667782618021333,0.293243133973797,0.021898087021222933,0.0010041174918078183,0.09311483811950907,2019,2023,0.14417497396220802
2019-2023,East Coast,1622,8479.70745129701,63298.32306082862,285632.77147666784,59876.910380140675,348931.09453749645,123175.2334409693,0.02968744590285811,0.13396417221271653,0.02430195412230816,0.06884263349385766,0.015196166595508358,0.001030882232518515,0.0953029457915582,2019,2023,0.14417497396220802
