period,wealth_q,n,mean_NIG,mean_inc,mean_nw,mean_LIQ,mean_resources,mean_coh,nig_over_nw,nig_over_inc,nig_over_resources,nig_over_coh,share_w_resources_le0,share_w_coh_le0,share_w_nw_le0,year0,year1,infl_cum
1999-2005,Q1,2730,-1426.439222187005,19165.931926214173,-2310.9758001950772,1084.4024499491634,16854.956126019093,20250.334376163337,NA,-0.07442576899879286,-0.08463025424225237,-0.07044027993266454,0.07342307432770935,0.00131687377437699,0.3693961806570873,1999,2005,0.13786598249320847
1999-2005,Q2,3026,168.04273804207816,30808.18059543086,21888.33783109019,6115.820396862394,52696.51842652105,36924.00099229326,0.00767727268003833,0.0054544843218362745,0.0031888774260560217,0.004551043590242343,0,0,0,1999,2005,0.13786598249320847
1999-2005,Q3,3230,4793.133134528702,40296.96176976244,77385.02517170805,15418.746196179101,117681.9869414705,55715.70796594155,0.06193876817760693,0.11894527339094126,0.040729539491142185,0.08602839862429273,0,0.0018088533138642877,0,1999,2005,0.13786598249320847
1999-2005,Q4,3100,12449.154088067748,46003.83921259378,179131.00607950997,34436.16961509935,225134.84529210377,80440.00882769313,0.06949748321372128,0.2706111990031417,0.05529643388572502,0.1547632113608355,0,2.705005446841528e-4,0,1999,2005,0.13786598249320847
1999-2005,Q5,3847,196133.1234934584,60893.036534183026,656937.6188632454,101641.75726550515,717830.6553974284,162534.79379968817,0.2985566937586009,3.220945031758381,0.2732303531741325,1.2067146911028641,0,6.805933037317562e-4,0,1999,2005,0.13786598249320847
2005-2012,Q1,859,-429.6850684384424,22867.829859317593,-4847.4782861181575,1144.7176899560639,18020.351573199434,24012.547549273655,NA,-0.018789936390197753,-0.023844433150654324,-0.01789418917575198,0.06951748623337267,0,0.4240933176889851,2005,2012,0.12938523774786126
2005-2012,Q2,964,-786.3140004522357,35553.527615228486,25710.494426166337,8150.1243969154775,61264.02204139483,43703.65201214396,-0.030583386978819845,-0.022116342686497228,-0.012834841302468515,-0.017991951799216737,0,0,0,2005,2012,0.12938523774786126
2005-2012,Q3,1021,3897.7477842115172,48005.91511707812,105856.01242653315,19772.151589992765,153861.9275436113,67778.06670707089,0.0368212224781909,0.08119307328493967,0.025332763253643253,0.057507509045029874,0,0,0,2005,2012,0.12938523774786126
2005-2012,Q4,951,7976.038571595929,57885.30567939801,249459.60404286857,41869.86029914343,307344.9097222666,99755.16597854144,0.031973267183673076,0.13779038527967358,0.02595142564359861,0.07995614556254332,0,0.001188645495728893,0,2005,2012,0.12938523774786126
2005-2012,Q5,1472,108704.7354688899,81886.56999783438,1009870.2437734894,141051.1794765554,1091756.8137713238,222937.74947438977,0.10764227992568917,1.3275038320907175,0.09956863478908307,0.4876012955418189,0,4.4215542241043596e-4,0,2005,2012,0.12938523774786126
2012-2016,Q1,1645,-483.4588148933574,29353.44278532133,-7260.477274596294,2034.6191011663875,22092.965510725036,31388.061886487718,NA,-0.016470259329686494,-0.021882929870082952,-0.015402633543980686,0.12516285298522997,0,0.43626670469713164,2012,2016,0.05883734586024669
2012-2016,Q2,2133,782.7330373280706,43596.605077537184,35997.32940482843,11558.980509084491,79593.93448236561,55155.58558662167,0.021744197424353382,0.017953990590229875,0.009834078971199603,0.0141913648273898,0,0,0,2012,2016,0.05883734586024669
2012-2016,Q3,2528,3204.5036639980763,60688.99786580167,165635.93482261582,32012.938606945954,226324.93268841747,92701.93647274762,0.019346669353059585,0.052802052706225656,0.014158862772798129,0.034567817954268214,0,0,0,2012,2016,0.05883734586024669
2012-2016,Q4,2581,2563.6932403650667,72373.44372871821,392945.5017597166,73857.30155769974,465318.9454884348,146230.74528641795,0.006524297208860141,0.035423120806227136,0.0055095397795892785,0.017531834603890135,0,3.551602567133929e-4,0,2012,2016,0.05883734586024669
2012-2016,Q5,3116,56362.852765214375,108157.34102787692,1481273.3367908162,191243.08910685848,1589430.6778186932,299400.4301347354,0.03805027159087646,0.5211190681054851,0.035461032400963696,0.18825241079263014,0,0,0,2012,2016,0.05883734586024669
2016-2019,Q1,1910,-665.303463054712,31790.338365802167,-5743.009029273892,2359.0371329178156,26047.329336528273,34149.375498719986,NA,-0.020927850952678097,-0.02554209894070419,-0.019482156066943285,0.08030753489357187,2.074619193749783e-4,0.38755046451134945,2016,2019,0.04363354037267086
2016-2019,Q2,2178,-1179.599401427782,50606.81179250184,42351.871170367056,14302.641998681003,92958.68296286889,64909.45379118283,-0.0278523561965576,-0.023309103254012087,-0.012689502086630866,-0.018172998423659766,0,0,0,2016,2019,0.04363354037267086
2016-2019,Q3,2512,-2623.8219376664388,67736.91471760768,194379.8638962498,41565.208826524206,262116.77861385746,109302.12354413189,-0.013498424605682938,-0.038735480477743056,-0.010010125836056356,-0.024005223801594696,0,3.013793704124276e-4,0,2016,2019,0.04363354037267086
2016-2019,Q4,2576,-14180.44507093611,79908.94814438962,473488.07158898574,93695.22874557142,553397.0197333754,173604.17688996106,-0.02994889612181304,-0.1774575363614233,-0.02562436111016318,-0.08168262610365866,0,0,0,2016,2019,0.04363354037267086
2016-2019,Q5,3253,-175255.41883456687,117304.15412954862,1824605.7549994874,232997.193617665,1941909.9091290361,350301.3477472136,-0.09605111589413796,-1.4940256816567459,-0.09024899559484223,-0.500299013868013,0,2.3014340354091272e-4,0,2016,2019,0.04363354037267086
2019-2023,Q1,1662,-2018.565690371829,39624.300291546126,-7327.268988996271,3729.3450569482293,32297.031302549858,43353.64534849436,NA,-0.05094262045057466,-0.0625000382066838,-0.046560460467528646,0.08582102564360021,8.182608238195512e-4,0.3695244014371123,2019,2023,0.14417497396220802
2019-2023,Q2,1771,-325.22370601535056,56816.66161943369,57258.347440982325,21516.122080650486,114075.009060416,78332.78370008418,-0.005679935250498928,-0.005724090376758608,-0.0028509636658727478,-0.004151821123331291,0,0,0,2019,2023,0.14417497396220802
2019-2023,Q3,2039,7043.574956584828,72039.86970867797,225549.41529232715,45581.86654921945,297589.28500100516,117621.73625789741,0.031228522350438742,0.097773288389725585,0.023668778788729028,0.05988327651566957,0,8.790159389294534e-4,0,2019,2023,0.14417497396220802
2019-2023,Q4,2110,6581.406488779584,85893.19188776953,533036.1256198167,99855.96315973451,618929.3175075862,185749.15504750403,0.012347017720659544,0.07662314490977394,0.010633534884536982,0.03543169005046853,0,0,0,2019,2023,0.14417497396220802
2019-2023,Q5,2840,141078.84311917506,116694.3014302028,2051559.1936684789,273257.30036895286,2168253.495098682,389951.6017991557,0.068766645171425,1.2089608608999398,0.06506565926820021,0.36178552022421906,0,2.2781852011565375e-4,0,2019,2023,0.14417497396220802
