year,wealth_q,n,mean_NIG,mean_inc,mean_nw,mean_LIQ,mean_resources,mean_coh,nig_over_nw,nig_over_inc,nig_over_resources,nig_over_coh,share_w_resources_le0,share_w_coh_le0,share_w_nw_le0
1999,Q1,2730,-117.14729447288298,19165.931926214173,-2310.9758001950772,1084.4024499491634,16854.956126019093,20250.334376163337,NA,-0.006112267064491393,-0.006950317378283888,-0.005784956055381338,0.07342307432770935,0.00131687377437699,0.3693961806570873
1999,Q2,3026,650.046174734483,30808.18059543086,21888.33783109019,6115.820396862394,52696.51842652105,36924.00099229326,0.02969828863894624,0.0210997910999941,0.012335656968323137,0.01760497663484951,0,0,0
1999,Q3,3230,2495.212399724143,40296.96176976244,77385.02517170805,15418.746196179101,117681.9869414705,55715.70796594155,0.03224412467641597,0.06192060865483092,0.021203010457030644,0.044784720338642045,0,0.0018088533138642877,0
1999,Q4,3100,7281.846182121588,46003.83921259378,179131.00607950997,34436.16961509935,225134.84529210377,80440.00882769313,0.04065095340830851,0.15828779307897733,0.032344376423266125,0.09052517880399165,0,2.705005446841528e-4,0
1999,Q5,3847,77932.30148976887,60893.036534183026,656937.6188632454,101641.75726550515,717830.6553974284,162534.79379968817,0.11862968302016516,1.279822881652825,0.10856641591410092,0.4794807294357818,0,6.805933037317562e-4,0
2005,Q1,859,489.3089884831845,22867.829859317593,-4847.4782861181575,1144.7176899560639,18020.351573199434,24012.547549273655,NA,0.021397263819671702,0.02715313219587257,0.020377221012436286,0.06951748623337267,0,0.4240933176889851
2005,Q2,964,1431.6129262929796,35553.527615228486,25710.494426166337,8150.1243969154775,61264.02204139483,43703.65201214396,0.05568204572666578,0.04026641017978152,0.023367922617383307,0.03275728366808285,0,0,0
2005,Q3,1021,6046.554122534881,48005.91511707812,105856.01242653315,19772.151589992765,153861.9275436113,67778.06670707089,0.057120554458173524,0.12595435599526394,0.039298572551816104,0.08921107396980503,0,0,0
2005,Q4,951,17330.23711217819,57885.30567939801,249459.60404286857,41869.86029914343,307344.9097222666,99755.16597854144,0.06947111608980211,0.29938923028519493,0.05638693391030528,0.17372771567445577,0,0.001188645495728893,0
2005,Q5,1472,187532.6670477978,81886.56999783438,1009870.2437734894,141051.1794765554,1091756.8137713238,222937.74947438977,0.18569976509760472,2.290151694627793,0.17177146474588237,0.8411884819414167,0,4.4215542241043596e-4,0
2012,Q1,1645,168.65907177910233,29353.44278532133,-7260.477274596294,2034.6191011663875,22092.965510725036,31388.061886487718,NA,0.0057458020516572275,0.007634062149656945,0.005373350937979021,0.12516285298522997,0,0.43626670469713164
2012,Q2,2133,2297.6436883653987,43596.605077537184,35997.32940482843,11558.980509084491,79593.93448236561,55155.58558662167,0.06382817076583489,0.05270235341212938,0.028867070126737508,0.04165749785680285,0,0,0
2012,Q3,2528,8951.447406174528,60688.99786580167,165635.93482261582,32012.938606945954,226324.93268841747,92701.93647274762,0.0540429069076157,0.14749703769978842,0.039551309260734545,0.09656160104925167,0,0,0
2012,Q4,2581,23907.748220102352,72373.44372871821,392945.5017597166,73857.30155769974,465318.9454884348,146230.74528641795,0.060842402096568014,0.3303386848595629,0.05137927103958109,0.16349330760282274,0,3.551602567133929e-4,0
2012,Q5,3116,285515.69672851777,108157.34102787692,1481273.3367908162,191243.08910685848,1589430.6778186932,299400.4301347354,0.1927501762416709,2.63981800971723,0.1796339410790501,0.9536248715475483,0,0,0
2016,Q1,1910,143.1201263325806,31790.338365802167,-5743.009029273892,2359.0371329178156,26047.329336528273,34149.375498719986,NA,0.004502000723796614,0.005494618065579249,0.004191002741410166,0.08030753489357187,2.074619193749783e-4,0.38755046451134945
2016,Q2,2178,2860.960854685003,50606.81179250184,42351.871170367056,14302.641998681003,92958.68296286889,64909.45379118283,0.06755217126479107,0.05653311784222885,0.030776693080169563,0.04407618132004109,0,0,0
2016,Q3,2512,9737.962255229011,67736.91471760768,194379.8638962498,41565.208826524206,262116.77861385746,109302.12354413189,0.05009758757947606,0.1437615264265602,0.03715123582216262,0.08909215978129836,0,3.013793704124276e-4,0
2016,Q4,2576,29524.065376875,79908.94814438962,473488.07158898574,93695.22874557142,553397.0197333754,173604.17688996106,0.06235440161733061,0.3694713303387147,0.053350604220997765,0.17006540917266535,0,0,0
2016,Q5,3253,336053.11056753004,117304.15412954862,1824605.7549994874,232997.193617665,1941909.9091290361,350301.3477472136,0.18417847781458108,2.8648014476656893,0.17305288416714082,0.9593257711644162,0,2.3014340354091272e-4,0
2019,Q1,1662,-74.90397044409778,39624.300291546126,-7327.268988996271,3729.3450569482293,32297.031302549858,43353.64534849436,NA,-0.001890354401036038,-0.0023192215328529,-0.0017277433037519447,0.08582102564360021,8.182608238195512e-4,0.3695244014371123
2019,Q2,1771,2034.2364516826035,56816.66161943369,57258.347440982325,21516.122080650486,114075.009060416,78332.78370008418,0.035527334311898265,0.03580351949060677,0.017832446111007875,0.02596915819398382,0,0,0
2019,Q3,2039,7258.04101369691,72039.86970867797,225549.41529232715,45581.86654921945,297589.28500100516,117621.73625789741,0.03217938297153199,0.10075033509982323,0.024389456810154957,0.06170663046312231,0,8.790159389294534e-4,0
2019,Q4,2110,20300.309679503996,85893.19188776953,533036.1256198167,99855.96315973451,618929.3175075862,185749.15504750403,0.03808430367810194,0.2363436406697862,0.03279907592881989,0.10928883996437204,0,0,0
2019,Q5,2840,214205.40395517615,116694.3014302028,2051559.1936684789,273257.30036895286,2168253.495098682,389951.6017991557,0.1044110277764623,1.8356115194133682,0.09879167931212175,0.5493127941182365,0,2.2781852011565375e-4,0
2023,Q1,1989,-232.5373332579885,71880.83272658159,-2381.1313985619395,6675.858744741447,69499.70132801964,78556.69147132302,NA,-0.003235039501316128,-0.0033458752888803896,-0.00296012126914581,0.05702980666868679,0.0029594127529344893,0.2795177862632812
2023,Q2,2541,5901.613892534766,88186.63158070487,116637.85944125669,36630.672224079484,204824.49102196158,124817.30380478436,0.0505977554869913,0.06692186544322022,0.028813028476667793,0.04728201709728449,0,0,0
2023,Q3,3113,21998.22399537868,83942.82898146665,389029.7878985281,71700.14196747493,472972.6168799947,155642.9709489416,0.0565463742871961,0.262061980306091,0.04651056575006793,0.14133772865717886,0,8.521130661368739e-4,0
2023,Q4,3583,57105.75093004437,95275.82037820322,840494.3850525786,142815.89050494164,935770.2054307819,238091.71088314487,0.06794304869326642,0.5993729647602045,0.061025399824261056,0.23984770707986472,0,6.813549559213104e-4,0
2023,Q5,5015,517039.82764061575,145378.7280792427,2779128.260972301,312275.3589550481,2924506.989051543,457654.0870342907,0.18604388825858836,3.556502622301035,0.17679555206270808,1.1297611936367902,0,1.2413046387851027e-5,0
