INF_cf,wealth_q,n,mean_NIG,mean_inc,mean_nw,mean_LIQ,mean_resources,mean_coh,nig_over_nw,nig_over_inc,nig_over_resources,nig_over_coh,share_w_resources_le0,share_w_coh_le0,share_w_nw_le0,year
0.02,Q1,1989,484.2519295150723,71880.83272658159,-2381.1313985619395,6675.858744741447,69499.70132801964,78556.69147132302,NA,0.006736871446064863,0.006967683605279614,0.0061643625825541235,0.05702980666868679,0.0029594127529344893,0.2795177862632812,2023
0.02,Q2,2541,6470.891951850849,88186.63158070487,116637.85944125669,36630.672224079484,204824.49102196158,124817.30380478436,0.05547848685537511,0.07337724364637908,0.03159237413243239,0.05184290763059099,0,0,0,2023
0.02,Q3,3113,22046.003456372997,83942.82898146665,389029.7878985281,71700.14196747493,472972.6168799947,155642.9709489416,0.056669191260293225,0.26263117080841336,0.04661158525794028,0.1416447098250595,0,8.521130661368739e-4,0,2023
0.02,Q4,3583,58432.83146309872,95275.82037820322,840494.3850525786,142815.89050494164,935770.2054307819,238091.71088314487,0.06952197718660946,0.6133017929538261,0.06244356907708892,0.2454215278908953,0,6.813549559213104e-4,0,2023
0.02,Q5,5015,520684.5095365846,145378.7280792427,2779128.260972301,312275.3589550481,2924506.989051543,457654.0870342907,0.18735533614933583,3.58157287806763,0.17804180721258922,1.1377250292043632,0,1.2413046387851027e-5,0,2023
0.04,Q1,1989,-342.0516418476605,71880.83272658159,-2381.1313985619395,6675.858744741447,69499.70132801964,78556.69147132302,NA,-0.004758593200342398,-0.004921627507912156,-0.004354201220051711,0.05702980666868679,0.0029594127529344893,0.2795177862632812,2023
0.04,Q2,2541,5814.6370134167955,88186.63158070487,116637.85944125669,36630.672224079484,204824.49102196158,124817.30380478436,0.04985205525265379,0.06593558353677986,0.028388387464823927,0.0465851835937023,0,0,0,2023
0.04,Q3,3113,21990.92403302247,83942.82898146665,389029.7878985281,71700.14196747493,472972.6168799947,155642.9709489416,0.05652760975403363,0.261975016804327,0.04649513153232322,0.1412908266845957,0,8.521130661368739e-4,0,2023
0.04,Q4,3583,56902.9935582919,95275.82037820322,840494.3850525786,142815.89050494164,935770.2054307819,238091.71088314487,0.06770181284998379,0.5972448553306806,0.060808725505527926,0.23899611350274946,0,6.813549559213104e-4,0,2023
0.04,Q5,5015,516482.9766404736,145378.7280792427,2779128.260972301,312275.3589550481,2924506.989051543,457654.0870342907,0.18584351931269907,3.5526722751278323,0.17660514355890664,1.1285444427851794,0,1.2413046387851027e-5,0,2023
0.06,Q1,1989,-1168.3552132103932,71880.83272658159,-2381.1313985619395,6675.858744741447,69499.70132801964,78556.69147132302,NA,-0.01625405784674966,-0.016810938621103926,-0.014872765022657544,0.05702980666868679,0.0029594127529344893,0.2795177862632812,2023
0.06,Q2,2541,5158.382074982743,88186.63158070487,116637.85944125669,36630.672224079484,204824.49102196158,124817.30380478436,0.04422562364993248,0.05849392342718067,0.025184400797215473,0.041327459556813606,0,0,0,2023
0.06,Q3,3113,21935.844609671945,83942.82898146665,389029.7878985281,71700.14196747493,472972.6168799947,155642.9709489416,0.05638602824777403,0.26131886280024064,0.04637867780670616,0.14093694354413192,0,8.521130661368739e-4,0,2023
0.06,Q4,3583,55373.15565348506,95275.82037820322,840494.3850525786,142815.89050494164,935770.2054307819,238091.71088314487,0.06588164851335812,0.581187917707535,0.05917388193396692,0.23257069911460354,0,6.813549559213104e-4,0,2023
0.06,Q5,5015,512281.4437443627,145378.7280792427,2779128.260972301,312275.3589550481,2924506.989051543,457654.0870342907,0.18433170247606231,3.523771672188035,0.1751684799052241,1.1193638563659958,0,1.2413046387851027e-5,0,2023
0.08,Q1,1989,-1994.6587845731258,71880.83272658159,-2381.1313985619395,6675.858744741447,69499.70132801964,78556.69147132302,NA,-0.02774952249315692,-0.028700249734295694,-0.025391328825263376,0.05702980666868679,0.0029594127529344893,0.2795177862632812,2023
0.08,Q2,2541,4502.127136548689,88186.63158070487,116637.85944125669,36630.672224079484,204824.49102196158,124817.30380478436,0.03859919204721117,0.051052263317581455,0.021980414129607013,0.036069735519924914,0,0,0,2023
0.08,Q3,3113,21880.76518632142,83942.82898146665,389029.7878985281,71700.14196747493,472972.6168799947,155642.9709489416,0.05624444674151443,0.2606627087961543,0.0462622240810891,0.14058306040366814,0,8.521130661368739e-4,0,2023
0.08,Q4,3583,53843.31774867822,95275.82037820322,840494.3850525786,142815.89050494164,935770.2054307819,238091.71088314487,0.06406148417673244,0.5651309800843893,0.05753903836240591,0.22614528472645762,0,6.813549559213104e-4,0,2023
0.08,Q5,5015,508079.9108482517,145378.7280792427,2779128.260972301,312275.3589550481,2924506.989051543,457654.0870342907,0.18281988563942556,3.4948710692482376,0.17373181625154155,1.110183269946812,0,1.2413046387851027e-5,0,2023
0.1,Q1,1989,-2820.962355935859,71880.83272658159,-2381.1313985619395,6675.858744741447,69499.70132801964,78556.69147132302,NA,-0.03924498713956418,-0.040589560847487466,-0.035909892627869214,0.05702980666868679,0.0029594127529344893,0.2795177862632812,2023
0.1,Q2,2541,3845.8721981146355,88186.63158070487,116637.85944125669,36630.672224079484,204824.49102196158,124817.30380478436,0.03297276044448985,0.04361060320798224,0.018776427461998552,0.030812011483036215,0,0,0,2023
0.1,Q3,3113,21825.68576297089,83942.82898146665,389029.7878985281,71700.14196747493,472972.6168799947,155642.9709489416,0.056102865235254824,0.26000655479206786,0.046145770355472036,0.1402291772632043,0,8.521130661368739e-4,0,2023
0.1,Q4,3583,52313.47984387139,95275.82037820322,840494.3850525786,142815.89050494164,935770.2054307819,238091.71088314487,0.06224131984010676,0.5490740424612438,0.05590419479084491,0.21971987033831172,0,6.813549559213104e-4,0,2023
0.1,Q5,5015,503878.37795214076,145378.7280792427,2779128.260972301,312275.3589550481,2924506.989051543,457654.0870342907,0.1813080688027888,3.4659704663084403,0.172295152597859,1.101002683527628,0,1.2413046387851027e-5,0,2023
