year,province,n,mean_NIG,mean_inc,mean_nw,mean_LIQ,mean_resources,mean_coh,nig_over_nw,nig_over_inc,nig_over_resources,nig_over_coh,share_w_resources_le0,share_w_coh_le0,share_w_nw_le0
2023,AB,1324,151397.54355925744,100539.26831689129,782226.3202380104,116771.80049601672,882765.5885549015,217311.06881290802,0.19354698204631013,1.505854837555264,0.17150367608585326,0.6966858355917515,0.016238263567367565,0.0021370115010587473,0.06547090118512537
2023,BC,2634,116945.49294381354,86790.86353383157,1099500.7494527996,127742.03685409787,1186291.6129866308,214532.90038792943,0.10636235855411201,1.3474401357722121,0.09858072978311741,0.5451168223258376,0.006937342638264188,0,0.05539181080047321
2023,MB,1181,86153.96472290208,139096.3142748991,550228.6954070923,118806.52060932644,689325.0096819913,257902.83488422557,0.15657846535822742,0.61938351977202,0.1249830827444485,0.334055904277195,0.012390300136809331,7.326918162617117e-4,0.050117656443620776
2023,NB,680,32321.3309449216,70609.09203919597,341523.6868045792,84577.58810295127,412132.77884377516,155186.68014214723,0.09463862154725436,0.4577502699932699,0.07842455782235526,0.20827387321718618,0.0017372734249725692,1.1111789973081329e-4,0.04308539844859472
2023,NL,556,72351.93239383989,79384.06349348143,461014.45874229696,91264.45049423537,540398.5222357784,170648.51398771678,0.1569407011468245,0.9114163373582032,0.1338862513807401,0.42398220003865816,0.02141417225461178,0,0.06805499453463153
2023,NS,997,50804.432832056445,71738.99838597486,454278.80388089205,86109.34120024143,526017.8022668669,157848.3395862163,0.11183535837031244,0.7081843066544519,0.09658310538752757,0.32185598508818786,0.0216888198748571,0,0.07034632422370973
2023,ON,4137,143056.71441675324,90548.47339744975,995743.9208502265,122036.92960110358,1086292.3942476762,212585.4029985533,0.14366817755171704,1.579890958391159,0.131692641110526,0.6729376165950904,0.016163949429189788,0.0012993907801441696,0.062354307550017696
2023,PE,407,28167.316388380947,867019.8569665819,523858.22346195276,95313.51863954734,1390878.0804285347,962333.3756061293,0.05376896863856659,0.03248751013261582,0.020251463291234336,0.029269811379699532,0.008649057496547714,0,0.06249018747662163
2023,QC,3037,96527.112330322,80552.46885763675,582054.2771817844,98153.5796658951,662606.7460394212,178706.04852353185,0.16583867882165756,1.1983135178751356,0.14567782913061256,0.540144629282715,0.003948830197304345,0,0.04009146441695091
2023,SK,1288,132572.79594097962,231611.19628951003,641160.3859305634,117997.7736587991,872771.5822200734,349608.9699483091,0.2067700981690672,0.5723937273536029,0.15189861659307644,0.3792030735383619,0.006440848275164878,0.00515110225650494,0.06424921857167949
