period,wealth_q,year0,year1,n,infl_cum,mean_IG,mean_IT,mean_NIG,mean_inc,nig_over_inc,mean_d_stk,mean_d_bus,mean_d_bnd,mean_d_liq,mean_d_dbt,mean_nw0,T_years,nig_over_inc_ann,nig_over_inc_ann_method,mean_NIG_ann,mean_IG_ann,mean_IT_ann,span_type
1999-2005,Q1,1999,2005,2730,0.13786598249320847,1215.890813218463,2642.330035405468,-1426.439222187005,19165.931926214173,-0.07442576899879286,196.0269201276664,-153.7843920370033,20.528122934581024,-149.50220918028376,1302.622371373503,-2310.9758001950772,6,-0.012807435039617565,geometric,-237.73987036450083,202.64846886974385,440.3883392342447,inter_wave
1999-2005,Q2,1999,2005,3026,0.13786598249320847,4415.442824659354,4247.400086617276,168.04273804207816,30808.18059543086,0.00545448432183627,1122.342173235407,361.13764216747103,144.74064966091177,-843.1635877654381,3630.385947361003,21888.33783109019,6,9.070215112396696e-4,geometric,28.007123007013025,735.9071374432257,707.9000144362127,inter_wave
1999-2005,Q3,1999,2005,3230,0.13786598249320847,10348.71336040826,5555.580225879559,4793.133134528702,40296.96176976244,0.11894527339094126,3495.3199483943527,1560.3186514804,391.84831722559136,-2125.720593149653,7026.94703645757,77385.02517170805,6,0.018907614172151366,geometric,798.8555224214502,1724.7855600680432,925.9300376465932,inter_wave
1999-2005,Q4,1999,2005,3100,0.13786598249320847,18791.51857957158,6342.364491503832,12449.154088067748,46003.83921259378,0.2706111990031417,9993.099823568778,6582.189305695812,1061.952142845599,-4747.576357288444,5901.853664749835,179131.00607950997,6,0.04072370425743577,geometric,2074.859014677958,3131.9197632619303,1057.060748583972,inter_wave
1999-2005,Q5,1999,2005,3847,0.13786598249320847,204528.20180223841,8395.078308779981,196133.1234934584,60893.036534183026,3.220945031758381,94457.07195760196,112889.59651966892,5321.484161990631,-14012.940727745075,5872.989890721987,656937.6188632454,6,0.2712616603542617,geometric,32688.8539155764,34088.0336337064,1399.179718129997,inter_wave
2005-2012,Q1,2005,2012,859,0.12938523774786126,2529.074534687005,2958.7596031254475,-429.6850684384424,22867.829859317593,-0.01878993639019775,97.60011183016714,252.89381497896383,47.33640673471126,-148.10957046914783,2279.35377161231,-4847.4782861181575,7,-0.0027061475091468834,geometric,-61.38358120549177,361.29636209814356,422.67994330363535,inter_wave
2005-2012,Q2,2005,2012,964,0.12938523774786126,3813.7876228192526,4600.101623271488,-786.3140004522357,35553.527615228486,-0.02211634268649722,549.4637004139618,209.4013060752524,232.87046660539545,-1054.5057827695532,3876.557932494196,25710.494426166337,7,-0.0031898410159062474,geometric,-112.33057149317654,544.8268032598933,657.1573747530698,inter_wave
2005-2012,Q3,2005,2012,1021,0.12938523774786126,10109.004524938317,6211.2567407268,3897.747784211517,48005.91511707812,0.08119307328493967,1782.1131560430954,962.896617858398,786.4840279090529,-2558.2245342579668,9135.73525738574,105856.01242653315,7,0.011214578433879963,geometric,556.8211120302167,1444.1435035626166,887.3223915323999,inter_wave
2005-2012,Q4,2005,2012,951,0.12938523774786126,15465.542609032467,7489.504037436536,7976.038571595929,57885.30567939801,0.13779038527967358,5380.009762837765,4028.6632582706657,1735.254083753112,-5417.341829274411,9738.95733344533,249459.60404286857,7,0.018612248701887157,geometric,1139.4340816565614,2209.363229861781,1069.9291482052195,inter_wave
2005-2012,Q5,2005,2012,1472,0.12938523774786126,119299.6487964166,10594.913327526683,108704.7354688899,81886.56999783438,1.3275038320907175,45572.48714772872,72084.75290888999,10337.930089110792,-18249.94039119037,9554.419041877454,1009870.2437734894,7,0.12826967339159911,geometric,15529.24792412713,17042.806970916656,1513.559046789526,inter_wave
