year,geo_group,wealth_q,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
2023,West Coast,Q1,306,420000.6192,1935.2255102651527,5100,49605.93318811587,1238.3999753132255,658.7631609863454,7783.0635594328805,211.36168008535162,5662.403008666803,20651.268329599166,0.914319348368734,1534.8807972982452,1852.7466826014227,-317.8658853031777,-0.006407819889160538
2023,West Coast,Q2,284,355375.2865,105123.04446137254,90515,69965.01301494554,7720.579449616007,3567.7660941709664,45599.7736339249,6100.900858329663,90959.66180536587,71449.00324104277,0.40464503963537274,9660.073729340358,2613.1439815884896,7046.929747751869,0.10072076662440617
2023,West Coast,Q3,315,366877.3508,398336.9315995358,390500,77009.9539043826,19501.973754825027,8527.52643253915,62759.35208244048,20776.975094880945,416861.8753038761,179278.6415385771,0.31037709140108316,28755.15107414413,2876.2675642561085,25878.883509888023,0.33604595507250745
2023,West Coast,Q4,534,537734.1025,849349.8732149445,840000,87870.09213072459,51222.022160384164,25603.146223027674,123415.22483526447,20964.09641073675,723916.071417665,182509.93198220117,0.17687473730729447,51101.77810705601,3281.8860816045226,47819.89202545149,0.5442112425956
2023,West Coast,Q5,1195,737712.6415,2734434.427572707,2151500,120144.28602793232,366437.68093972286,115937.70269649329,271079.04513351165,189770.18349617167,1921984.484060451,290850.17740333447,0.09613977373399478,336811.22143783467,4487.304503024565,332323.9169348101,2.766040133257342
2023,Central,Q1,1059,2287942.2167,-1508.0145971354327,5380,49778.814463294264,1188.6823885616975,802.0148114921864,6642.328383729863,-42.378621435793704,17592.117219847878,34985.76564871927,1.0450452778268118,2032.7667177206788,1859.2036765230164,173.56304119766253,0.003486684909413499
2023,Central,Q2,1138,2065292.4683,114985.47738514235,105200,68432.60661900729,6833.59046777956,4440.232806973884,38135.964477173104,3262.52218154908,123183.27457925926,81058.26693715686,0.4134703059124177,8871.290508251837,2555.9096814956943,6315.380826756144,0.09228613578781954
2023,Central,Q3,1543,2220766.7915,392750.5193244651,389305,83008.0069166281,22406.094439830973,14141.522147899143,74077.1354386886,7549.752771446287,390340.9053762805,154367.2332299283,0.2821462701753247,25047.463308836952,3100.29062170698,21947.17268712997,0.2643982611120076
2023,Central,Q4,1909,2224406.1664,845424.9187406913,823750,93928.49320900443,62683.15998659239,33606.82576361122,137088.05331483905,19969.211599821116,688850.950486897,164362.51914070602,0.16276942351902274,59148.2807727157,3508.16309683747,55640.117675878224,0.5923667651313318
2023,Central,Q5,2706,2150191.3608,2794475.302913946,2035000,153673.63722749538,454052.41488293576,163758.13126230953,314113.6381527187,478975.71912563354,1489971.2414488753,254689.2609216724,0.08352755503667948,546173.6739799,5739.602166072075,540434.0718138278,3.5167650194534024
2023,Oil Prairies,Q1,276,411121.6621,-9325.688679504392,2250,234953.73870118897,3003.631937632328,2676.7265608239272,6248.506261673103,1671.672445424033,32253.914195537105,64538.931986770636,1.1689031131101313,5853.121837020522,8775.356735909903,-2922.234898889381,-0.01243749052491495
2023,Oil Prairies,Q2,489,589671.3938,123218.49630923459,121250,79206.72369850258,6316.872750391029,4791.265157478525,30108.4671878837,4560.271910254908,205123.65180716183,156394.38328535212,0.5593246760024424,12550.894971550964,2958.315369567226,9592.579601983738,0.12110814781959083
2023,Oil Prairies,Q3,547,490622.9332,370777.8949994158,353000,94595.50313701072,24414.151806786456,14189.751389485351,65899.07884151727,6831.17749546425,362496.3355884135,165162.37123401652,0.30817309621979205,26424.954436575175,3533.0754480816136,22891.87898849356,0.24199753930519619
2023,Oil Prairies,Q4,594,434373.206,815938.2412680768,780800,111695.90924415237,84672.71837776137,40862.984076792505,171868.79715515272,32945.03903687489,527543.0464967284,147775.21973886783,0.15333937494705488,78340.49259080213,4171.763577705068,74168.72901309705,0.6640236828277578
2023,Oil Prairies,Q5,706,388153.8079,2924130.963698835,2076250,152827.0579339523,586229.4378751911,202452.45951129586,369700.3494370537,749151.5446190203,1043744.2257010639,152940.39216190437,0.049703232221315466,760820.8891949051,5707.983025439787,755112.9061694653,4.940963441799714
2023,East Coast,Q1,348,252758.6754,-6161.24075024924,5020,43714.86818008938,1074.01983883548,735.7676832352959,5834.6717280191215,58.087349032689225,18773.398325856237,40827.43161069952,1.1777305379483856,2240.8923826917307,1632.719551789876,608.1728309018547,0.013912265007786447
2023,East Coast,Q2,630,359051.742,126732.00228957529,130200,234596.0220339574,3764.131309679863,2498.028667395963,29806.28533186101,944.4931253766205,132407.90145307942,69565.97271012265,0.3543896604650643,5088.322884467098,8761.996270216996,-3673.673385749899,-0.015659572374241454
2023,East Coast,Q3,708,298336.1176,379903.6391551574,362600,81908.514107906,15297.597683356465,10547.695530938125,74541.09785290787,11447.267126115808,299870.40825552057,89248.79669760609,0.1902341112977094,19195.602368013257,3059.2253393307974,16136.37702868246,0.1970048804380025
2023,East Coast,Q4,546,166910.8021,810161.5572649237,784505,94358.3773742766,62819.19814568217,33115.34052175878,206045.06183198353,43826.99649242474,447581.70811669115,93393.18580263716,0.10336195622809535,65673.29931578979,3524.218967777152,62149.08034801263,0.6586493120954762
2023,East Coast,Q5,408,93622.6609,2177658.2559696822,1903000,122831.06000347079,460947.95287839434,187328.89714920986,356587.9289641238,273828.4627807935,926233.9529142245,135629.29387371748,0.05863053812004435,452800.0069357687,4587.653619554668,448212.35331621405,3.6490147793526253
