age_band,period,year0,year1,n,infl_cum,mean_nw0,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,debt_asset
<35,1999-2005,1999,2005,3502,0.13786598249320847,66844.65088011473,32069.316466716526,20880.98770056115,4421.267822569503,16459.719877991643,0.5132544653726728,0.3483588913478868
35-44,1999-2005,1999,2005,3770,0.13786598249320847,154738.28028241466,44156.894502519404,48480.59013350994,6087.733644438794,42392.85648907115,0.9600506776275309,0.24068023419886544
45-54,1999-2005,1999,2005,3139,0.13786598249320847,255760.9408080594,51273.37844495792,75766.4951324833,7068.854695060221,68697.64043742308,1.3398305811108222,0.15114242232903513
55-64,1999-2005,1999,2005,2151,0.13786598249320847,308084.7352191926,42463.13070341065,74579.38032132277,5854.221234163237,68725.15908715953,1.618466607353553,0.0796970825930243
65+,1999-2005,1999,2005,3371,0.13786598249320847,242790.24330553878,28612.169681588253,37132.55627202367,3944.6448844145566,33187.911387609114,1.1599229194060499,0.024074461686478945
<35,2005-2012,2005,2012,1006,0.12938523774786126,66784.47116927647,37382.124072218685,9347.887525796568,4836.695010604063,4511.192515192507,0.1206778006107228,0.4137737619548695
35-44,2005-2012,2005,2012,1092,0.12938523774786126,267262.30596593773,58655.84277308556,38328.69255023506,7589.200162496845,30739.49238773821,0.524065309344479,0.25233381248611625
45-54,2005-2012,2005,2012,1145,0.12938523774786126,362682.5619907212,61814.24518065871,47965.75938812218,7997.850808904115,39967.90857921806,0.6465808724575961,0.1553362836480988
55-64,2005-2012,2005,2012,894,0.12938523774786126,432860.12041861203,54116.71696520333,44382.258372303084,7001.90429067655,37380.35408162654,0.6907358054565993,0.09207316431382367
65+,2005-2012,2005,2012,1130,0.12938523774786126,356841.9403438271,35842.20623528755,17606.108839707776,4637.452375160555,12968.656464547219,0.36182640040107944,0.027582340709421938
<35,2012-2016,2012,2016,1978,0.05883734586024669,128191.53923988559,47856.541840274156,8656.475542220622,2815.751903931577,5840.723638289045,0.12204650427486019,0.3993505141865821
35-44,2012-2016,2012,2016,1858,0.05883734586024669,316265.9003060539,71390.77081158172,17164.422355810602,4200.443473470638,12963.978882339963,0.18159180430416108,0.3221397094370769
45-54,2012-2016,2012,2016,2494,0.05883734586024669,522928.9784395598,82322.50579793406,22785.16741926653,4843.637745715209,17941.529673551322,0.21794197710149849,0.17003489739931169
55-64,2012-2016,2012,2016,2492,0.05883734586024669,602671.2284983287,67854.59887251104,21890.06230776641,3992.3845020702374,17897.67780569617,0.2637651405076215,0.10691196973190716
65+,2012-2016,2012,2016,3181,0.05883734586024669,544010.3593929573,48718.2111779044,12261.443241906743,2866.4502407668974,9394.993001139846,0.19284355426828234,0.04221043668205517
<35,2016-2019,2016,2019,2123,0.04363354037267086,148744.64965880464,51338.10336740564,-4044.9175935463595,2240.0632059380437,-6284.980799484403,-0.12242331498897392,0.40536784410277343
35-44,2016-2019,2016,2019,1949,0.04363354037267086,365884.1220594541,81047.64163370419,-23569.786736496797,3536.395543333991,-27106.182279830788,-0.3344475142452326,0.3168600165067475
45-54,2016-2019,2016,2019,2314,0.04363354037267086,581583.6192811759,85289.75143386808,-40692.224649292664,3721.4938125647445,-44413.71846185742,-0.5207392179621358,0.20501129449000205
55-64,2016-2019,2016,2019,2622,0.04363354037267086,790784.4653741184,84988.95122180063,-65323.98101062887,3708.368834367392,-69032.34984499628,-0.8122508732321985,0.11987809528683176
65+,2016-2019,2016,2019,3421,0.04363354037267086,668835.2440516046,52895.15437105348,-48076.90660326548,2308.002853768019,-50384.90945703351,-0.9525430080719512,0.04634089264662753
<35,2019-2023,2019,2023,1754,0.14417497396220802,195438.9918090939,60625.03368106483,24755.701976141398,8740.612652425505,16015.089323715893,0.26416627507322815,0.3539720561472272
35-44,2019-2023,2019,2023,1634,0.14417497396220802,396174.5599360247,85726.57681441327,48494.695164152974,12359.62698008726,36135.06818406572,0.42151535179450095,0.3156984487623187
45-54,2019-2023,2019,2023,1853,0.14417497396220802,712391.3075903289,96930.87411879905,67432.32755046383,13975.006252211915,53457.32129825192,0.5514994245562493,0.2019031594818103
55-64,2019-2023,2019,2023,2224,0.14417497396220802,787195.9166153785,83874.47194613585,42372.60824458244,12092.599808928082,30280.008435654363,0.3610157862466207,0.10535667281702912
65+,2019-2023,2019,2023,2957,0.14417497396220802,744227.0416478127,54205.83625179205,30346.72186512723,7815.12503020183,22531.5968349254,0.4156673596965401,0.038231129129810165
