geo_group,period,year0,year1,n,infl_cum,mean_nw0,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,debt_asset
West Coast,1999-2005,1999,2005,2378,0.13786598249320847,224999.1415186353,39034.024534192074,56395.75861882986,5381.464143070395,51014.29447575946,1.3069186455799144,0.1779214427305276
Central,1999-2005,1999,2005,7636,0.13786598249320847,182987.2349840436,39970.457473421746,44046.798317685854,5510.566390276296,38536.23192740956,0.9641178601229202,0.15297554614919046
Oil Prairies,1999-2005,1999,2005,3067,0.13786598249320847,205382.12248005826,40482.10621618241,70077.5764056584,5581.10534688841,64496.47105876999,1.593209372910247,0.14355971991789448
East Coast,1999-2005,1999,2005,2852,0.13786598249320847,116061.9566068498,33702.735836853295,27862.134080802865,4646.460788856845,23215.67329194602,0.6888364613581348,0.15012043540789055
West Coast,2005-2012,2005,2012,783,0.12938523774786126,412341.63164552744,47719.36733097636,52024.92745840356,6174.181687295901,45850.74577110766,0.9608414431208162,0.1441956844889915
Central,2005-2012,2005,2012,2366,0.12938523774786126,262620.64486632147,49545.7398388128,26465.141937439817,6410.487328438476,20054.654609001336,0.40477051456381846,0.16987693519166286
East Coast,2005-2012,2005,2012,803,0.12938523774786126,157220.99966387497,40782.569136522514,16453.496655460916,5276.6624036975545,11176.834251763363,0.2740591014349323,0.19031538621540106
Prairies unsplit,2005-2012,2005,2012,1315,0.12938523774786126,273801.6160535241,53058.30119520308,32621.651532921427,6864.960914638981,25756.690618282442,0.48544129830924676,0.14522202768023568
West Coast,2012-2016,2012,2016,2041,0.05883734586024669,551489.1762209629,60457.8036430903,18428.068038237292,3557.176702899387,14870.891335337907,0.24597141211294227,0.1745979477741863
Central,2012-2016,2012,2016,5822,0.05883734586024669,389649.2551883367,61832.12686192518,15135.505410481119,3638.038233449742,11497.467177031376,0.18594649352279125,0.16901491753268083
Oil Prairies,2012-2016,2012,2016,2166,0.05883734586024669,486221.98700204166,74065.08721810073,22867.755687276127,4357.793152820729,18509.9625344554,0.24991481451913772,0.1795675760877812
East Coast,2012-2016,2012,2016,1974,0.05883734586024669,226585.43856074833,54414.90920261358,8312.752402415881,3201.6288327080956,5111.123569707785,0.09392873469064421,0.19769631526196935
West Coast,2016-2019,2016,2019,1733,0.04363354037267086,729279.0004499591,66599.7170188644,-37366.09773556763,2905.9814413510744,-40272.079176918705,-0.6046884428279421,0.15707241671343217
Central,2016-2019,2016,2019,6235,0.04363354037267086,474266.74253527937,67116.1198933887,-33779.67072813474,2928.513927025194,-36708.18465515994,-0.5469354413435913,0.17574809933024274
Oil Prairies,2016-2019,2016,2019,2692,0.04363354037267086,556841.6134860438,87718.47511220259,-52826.071656051434,3827.467625237415,-56653.539281288846,-0.6458564083429641,0.19623216426385326
East Coast,2016-2019,2016,2019,1769,0.04363354037267086,261541.65404467538,59586.23461484462,-16022.51995375028,2599.9583737222606,-18622.478327472538,-0.3125298728447115,0.1809141902367506
West Coast,2019-2023,2019,2023,1293,0.14417497396220802,734727.7416358462,72711.13673780893,41024.928365139924,10483.12624593615,30541.802119203778,0.42004297401284335,0.16261022893851698
Central,2019-2023,2019,2023,5231,0.14417497396220802,554731.1203050098,73085.04263425303,38153.51560222011,10537.034118820295,27616.48148339982,0.37786776182924064,0.1570291309016731
Oil Prairies,2019-2023,2019,2023,2276,0.14417497396220802,629670.9627842566,86517.81028736022,67389.50129925308,12473.70304544741,54915.798253805675,0.6347340284203723,0.1809860898177924
East Coast,2019-2023,2019,2023,1622,0.14417497396220802,285632.77147666784,63298.32306082862,17605.741530443407,9126.034079146397,8479.70745129701,0.13396417221271653,0.1797627742267253
