housing_status,period,year0,year1,n,infl_cum,mean_nw0,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,debt_asset
owner_mortgage,1999-2005,1999,2005,5130,0.13786598249320847,183027.274815353,51957.986699904795,53360.930128869666,7163.238884751433,46197.69124411823,0.8891355146407718,0.32906990611261844
owner_free_clear,1999-2005,1999,2005,5430,0.13786598249320847,402550.5178821223,45502.12272679561,92691.13274475338,6273.194855256227,86417.93788949716,1.899206733900499,0.02339524425279109
renter,1999-2005,1999,2005,5373,0.13786598249320847,38588.62059356654,24861.393001212477,11966.200449591446,3427.540372261935,8538.660077329512,0.34345058930982214,0.1369531014337853
owner_mortgage,2005-2012,2005,2012,1777,0.12938523774786126,287122.97708285035,65900.74387754394,302496.74550252315,8526.583414356934,293970.1620881662,4.460801878570877,0.3155478342829043
owner_free_clear,2005-2012,2005,2012,1858,0.12938523774786126,597477.8581032443,58924.66519104388,475940.9989901419,7623.981814956337,468317.0171751855,7.947724703344878,0.03120204733241222
renter,2005-2012,2005,2012,1632,0.12938523774786126,34400.87637372379,27216.202071238597,25849.304795518565,3521.3747755810396,22327.93001993753,0.8203911023843083,0.18184943241061496
owner_mortgage,2012-2016,2012,2016,4097,0.05883734586024669,399773.91253500583,81530.41218335267,10461.580674937475,4797.0330597603925,5664.547615177084,0.06947772571587345,0.34528396426678715
owner_free_clear,2012-2016,2012,2016,4678,0.05883734586024669,876009.5094903284,77862.60392770049,-3280.738960534774,4581.228956873517,-7861.967917408291,-0.1009723220239146,0.0391727625956161
renter,2012-2016,2012,2016,3228,0.05883734586024669,71353.50383021952,34400.061180557015,-165.39166293613755,2024.008297294079,-2189.399960230217,-0.06364523448777092,0.15547080562898138
owner_mortgage,2016-2019,2016,2019,4471,0.04363354037267086,512396.3768843294,91597.70055987747,-54590.203317708074,3996.731965423229,-58586.9352831313,-0.6396114195555923,0.33428273871662345
owner_free_clear,2016-2019,2016,2019,4290,0.04363354037267086,1112113.4006769825,83762.57431183633,-169261.00993501957,3654.8576679543535,-172915.86760297394,-2.0643571311363043,0.03803563099638762
renter,2016-2019,2016,2019,3668,0.04363354037267086,80077.34157841037,38998.011633103524,-15252.162014126701,1701.6213150469107,-16953.783329173613,-0.4347345574609339,0.13976981294374488
owner_mortgage,2019-2023,2019,2023,3722,0.14417497396220802,568976.0162080798,99100.59678701764,180317.4754057378,14287.825961407543,166029.64944433025,1.6753647790956638,0.3240635172937355
owner_free_clear,2019-2023,2019,2023,3679,0.14417497396220802,1218395.5683152995,82575.65523910032,365487.74274465366,11905.342944009555,353582.3998006441,4.281920606949294,0.029022216294646727
renter,2019-2023,2019,2023,3021,0.14417497396220802,99637.7537442274,45019.81728953564,42233.46215844613,6490.730985502162,35742.73117294396,0.793933279272814,0.13895796324115797
