province,period,year0,year1,n,infl_cum,mean_nw0,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,debt_asset
AB,1999-2005,1999,2005,1981,0.13786598249320847,211284.28504754062,42414.26584982471,71995.84158394135,5847.484433114223,66148.35715082714,1.5595780293601502,0.15512381790313198
BC,1999-2005,1999,2005,2378,0.13786598249320847,224999.1415186353,39034.024534192074,56395.75861882986,5381.464143070395,51014.29447575946,1.3069186455799144,0.1779214427305276
MB,1999-2005,1999,2005,1246,0.13786598249320847,152376.45201563908,37252.92602373661,38962.26851873399,5135.911247009262,33826.35727172472,0.9080188023397527,0.1223065257548884
NB,1999-2005,1999,2005,800,0.13786598249320847,120438.42389519371,33567.91675854649,29097.605731103995,4627.87382416725,24469.73190693674,0.7289618859265872,0.13612603893045433
NL,1999-2005,1999,2005,724,0.13786598249320847,87738.17106773824,32945.643724696354,17683.582650150118,4542.083540976471,13141.499109173643,0.3988842718930593,0.17655311590493653
NS,1999-2005,1999,2005,989,0.13786598249320847,120707.65576921032,34045.21435710412,28433.782736041027,4693.676926534047,23740.105809506982,0.6973110981324515,0.1572038396250825
ON,1999-2005,1999,2005,3753,0.13786598249320847,210715.64435864866,43970.230044725846,46456.12010691906,6061.998965568523,40394.12114135053,0.9186697704392778,0.1591043924423906
PE,1999-2005,1999,2005,339,0.13786598249320847,163333.72256648593,34845.84729445612,54334.40513695532,4804.056973058504,49530.348163896815,1.4214132245186346,0.11460616205333915
QC,1999-2005,1999,2005,2637,0.13786598249320847,147493.0043438445,34607.36095284041,41309.875614059805,4771.177819260443,36538.697794799366,1.0558071112267358,0.14458729922734048
SK,1999-2005,1999,2005,1086,0.13786598249320847,188378.86510378547,34915.84009469895,64551.33815495566,4813.706599231432,59737.63155572423,1.710903457963591,0.10393041895441664
AB,2012-2016,2012,2016,1536,0.05883734586024669,499591.11221067555,76968.28207660699,23404.28846053744,4528.609432810353,18875.679027727085,0.24523970807793277,0.18912441861733814
BC,2012-2016,2012,2016,2041,0.05883734586024669,551489.1762209629,60457.8036430903,18428.068038237292,3557.176702899387,14870.891335337907,0.24597141211294227,0.1745979477741863
MB,2012-2016,2012,2016,740,0.05883734586024669,325199.4345931721,56591.475389768595,12444.00284259265,3329.6922102494536,9114.310632343197,0.16105447984116367,0.1591474992601881
NB,2012-2016,2012,2016,627,0.05883734586024669,216107.37307363353,53600.95917638188,8039.004118700844,3153.7381735017448,4885.265945199099,0.09114139038302299,0.17740101480853013
NL,2012-2016,2012,2016,482,0.05883734586024669,223561.5558653993,57969.75977073058,6468.870697647864,3410.78680506589,3058.083892581974,0.05275308893251661,0.2100773370621299
NS,2012-2016,2012,2016,593,0.05883734586024669,241066.45820914587,53340.0834922249,9458.35186800924,3138.388940646472,6319.962927362768,0.11848430886472076,0.20319064030054482
ON,2012-2016,2012,2016,2929,0.05883734586024669,432880.4322304546,66828.15337860033,16317.246346572045,3931.9911735383207,12385.255173033724,0.18532990284600206,0.1745161209837751
PE,2012-2016,2012,2016,272,0.05883734586024669,194991.22909741735,53133.74024614137,8705.179734945143,3126.248251710729,5578.9314832344135,0.10499790636590017,0.21600375290681095
QC,2012-2016,2012,2016,2153,0.05883734586024669,332850.83024052123,54960.02450624489,13712.691657953483,3233.7019703615647,10478.989687591918,0.1906656662134718,0.15927075069983523
SK,2012-2016,2012,2016,630,0.05883734586024669,438477.87531848974,63697.134386443424,20951.67813929037,3747.7703262017844,17203.907813088586,0.27008919598665765,0.13824095444727383
AB,2016-2019,2016,2019,1905,0.04363354037267086,575412.0323086807,91551.25737421538,-52764.27098913771,3994.7054848066073,-56758.97647394433,-0.6199693822002056,0.20586019170391462
BC,2016-2019,2016,2019,1733,0.04363354037267086,729279.0004499591,66599.7170188644,-37366.09773556763,2905.9814413510744,-40272.079176918705,-0.6046884428279421,0.15707241671343217
MB,2016-2019,2016,2019,720,0.04363354037267086,398247.28691178304,67115.86682619451,-31052.871342282502,2928.5028848075585,-33981.37422709006,-0.5063091014690961,0.18334441487892264
NB,2016-2019,2016,2019,468,0.04363354037267086,207365.73599639605,57291.51323607559,-10402.160444205565,2499.831555797711,-12901.992000003276,-0.22519900891497294,0.20551155072888294
NL,2016-2019,2016,2019,415,0.04363354037267086,268478.2922750371,67044.55584256118,-13575.936111671881,2925.3913341241796,-16501.32744579606,-0.24612479325757125,0.2056046182906038
NS,2016-2019,2016,2019,560,0.04363354037267086,290474.50973770826,57541.08368642984,-19672.858376218664,2510.721198119069,-22183.579574337735,-0.38552592605358565,0.15944122419835877
