sfs_region,period,year0,year1,n,infl_cum,mean_nw0,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,debt_asset
Atlantic,1999-2005,1999,2005,2852,0.13786598249320847,116061.9566068498,33702.735836853295,27862.134080802865,4646.460788856845,23215.67329194602,0.6888364613581348,0.15012043540789055
British Columbia,1999-2005,1999,2005,2378,0.13786598249320847,224999.1415186353,39034.024534192074,56395.75861882986,5381.464143070395,51014.29447575946,1.3069186455799144,0.1779214427305276
Ontario,1999-2005,1999,2005,3753,0.13786598249320847,210715.64435864866,43970.230044725846,46456.12010691906,6061.998965568523,40394.12114135053,0.9186697704392778,0.1591043924423906
Prairies,1999-2005,1999,2005,4313,0.13786598249320847,193589.5605809942,39763.68671560821,63155.12469341567,5482.059736599467,57673.064956816204,1.4503953159398102,0.13991263678656043
Quebec,1999-2005,1999,2005,2637,0.13786598249320847,147493.0043438445,34607.36095284041,41309.875614059805,4771.177819260443,36538.697794799366,1.0558071112267358,0.14458729922734048
Atlantic,2005-2012,2005,2012,803,0.12938523774786126,157220.99966387497,40782.569136522514,16453.496655460916,5276.6624036975545,11176.834251763363,0.2740591014349323,0.19031538621540106
British Columbia,2005-2012,2005,2012,783,0.12938523774786126,412341.63164552744,47719.36733097636,52024.92745840356,6174.181687295901,45850.74577110766,0.9608414431208162,0.1441956844889915
Ontario,2005-2012,2005,2012,1390,0.12938523774786126,310634.0279093584,54017.0642240525,32216.03334602685,6989.010697070523,25227.022648956325,0.4670195059901708,0.17745651780328417
Prairies,2005-2012,2005,2012,1315,0.12938523774786126,273801.6160535241,53058.30119520308,32621.651532921427,6864.960914638981,25756.690618282442,0.48544129830924676,0.14522202768023568
Quebec,2005-2012,2005,2012,976,0.12938523774786126,191673.41005808156,42938.66320813544,17967.3061828546,5555.629147759947,12411.677035094654,0.28905597211845796,0.15114510521838878
Atlantic,2012-2016,2012,2016,1974,0.05883734586024669,226585.43856074833,54414.90920261358,8312.752402415881,3201.6288327080956,5111.123569707785,0.09392873469064421,0.19769631526196935
British Columbia,2012-2016,2012,2016,2041,0.05883734586024669,551489.1762209629,60457.8036430903,18428.068038237292,3557.176702899387,14870.891335337907,0.24597141211294227,0.1745979477741863
Ontario,2012-2016,2012,2016,2929,0.05883734586024669,432880.4322304546,66828.15337860033,16317.246346572045,3931.9911735383207,12385.255173033724,0.18532990284600206,0.1745161209837751
Prairies,2012-2016,2012,2016,2906,0.05883734586024669,454400.31671743066,70611.90934975739,20807.788178442108,4154.6173322640625,16653.170846178047,0.23584082344652338,0.17673994977545332
Quebec,2012-2016,2012,2016,2153,0.05883734586024669,332850.83024052123,54960.02450624489,13712.691657953483,3233.7019703615647,10478.989687591918,0.1906656662134718,0.15927075069983523
Atlantic,2016-2019,2016,2019,1769,0.04363354037267086,261541.65404467538,59586.23461484462,-16022.51995375028,2599.9583737222606,-18622.478327472538,-0.3125298728447115,0.1809141902367506
British Columbia,2016-2019,2016,2019,1733,0.04363354037267086,729279.0004499591,66599.7170188644,-37366.09773556763,2905.9814413510744,-40272.079176918705,-0.6046884428279421,0.15707241671343217
Ontario,2016-2019,2016,2019,3239,0.04363354037267086,567748.5026562315,72650.62561781293,-38355.769279108936,3170.004005994636,-41525.77328510357,-0.5715817714159095,0.17342863682048165
Prairies,2016-2019,2016,2019,3412,0.04363354037267086,526748.3473197143,83809.13113840566,-48694.607898876915,3656.88910712609,-52351.497006002995,-0.62465147048891,0.19440833393361148
Quebec,2016-2019,2016,2019,2276,0.04363354037267086,342461.1441881334,58700.71765678843,-27192.321303285986,2561.320133782231,-29753.641437068218,-0.506870147840984,0.18034053044864473
Atlantic,2019-2023,2019,2023,1622,0.14417497396220802,285632.77147666784,63298.32306082862,17605.741530443407,9126.034079146397,8479.70745129701,0.13396417221271653,0.1797627742267253
British Columbia,2019-2023,2019,2023,1293,0.14417497396220802,734727.7416358462,72711.13673780893,41024.928365139924,10483.12624593615,30541.802119203778,0.42004297401284335,0.16261022893851698
Ontario,2019-2023,2019,2023,2698,0.14417497396220802,680271.1545274078,77969.89333345524,43488.823467218725,11241.307341187046,32247.516126031675,0.4135893323352149,0.15343497659620572
Prairies,2019-2023,2019,2023,2806,0.14417497396220802,593000.2861934952,83355.02960122765,61426.609741160646,12017.709222376077,49408.900518784576,0.5927524800261949,0.17938113517955626
Quebec,2019-2023,2019,2023,2003,0.14417497396220802,374606.1507302125,65856.75879904635,30028.496592385956,9494.896485087922,20533.600107298036,0.31179184159296003,0.16499078665358385
