period,wealth_q,year0,year1,n,infl_cum,mean_IG,mean_IT,mean_NIG,mean_inc,nig_over_inc,mean_d_stk,mean_d_bus,mean_d_bnd,mean_d_liq,mean_d_dbt,mean_nw0
1999-2005,Q1,1999,2005,2730,0.13786598249320847,1529.192745846309,2642.330035405468,-1113.1372895591592,19165.931926214173,-0.05807895456607917,443.732349906671,-153.7843920370033,33.59079830048796,-96.96838169734956,1302.622371373503,-2310.9758001950772
1999-2005,Q2,1999,2005,3026,0.13786598249320847,6617.012522190462,4247.400086617276,2369.612435573186,30808.18059543086,0.07691503976462088,2870.322455121574,361.13764216747103,232.53977301426167,-477.37329547384707,3630.3859473610028,21888.33783109019
1999-2005,Q3,1999,2005,3230,0.13786598249320847,16627.397871246736,5555.580225879559,11071.817645367177,40296.96176976244,0.27475564308362116,8461.519986654845,1560.3186514804,652.4931297064495,-1073.8809330525276,7026.94703645757,77385.02517170805
1999-2005,Q4,1999,2005,3100,0.13786598249320847,33666.296888531084,6342.364491503832,27323.932397027253,46003.83921259378,0.5939489587109762,21828.830247322654,6582.189305695812,1641.268080209476,-2287.8444094466913,5901.853664749835,179131.00607950997
1999-2005,Q5,1999,2005,3847,0.13786598249320847,242525.79707514524,8395.078308779981,234130.71876636526,60893.036534183026,3.844950623129678,123917.76307601301,112889.59651966892,7221.1859268666285,-7375.738338125318,5872.989890721987,656937.6188632454
2005-2012,Q1,2005,2012,859,0.12938523774786126,6251.04628117619,2958.7596031254475,3292.2866780507425,22867.829859317593,0.14397022797112016,1694.6133890895283,2330.982265415336,55.85920326631459,-109.76234820729927,2279.35377161231,-4847.4782861181575
2005-2012,Q2,2005,2012,964,0.12938523774786126,18764.74251333831,4600.101623271488,14164.640890066825,35553.527615228486,0.39840324828976315,13136.602409652212,1930.101496775727,414.14774543596224,-592.6670710197848,3876.557932494196,25710.494426166337
2005-2012,Q3,2005,2012,1021,0.12938523774786126,54974.56802042142,6211.2567407268,48763.31127969462,48005.91511707812,1.0157771424785746,37254.12691283762,8875.246473872974,1153.264633481568,-1443.8052571564735,9135.735257385739,105856.01242653315
2005-2012,Q4,2005,2012,951,0.12938523774786126,143634.74747996705,7489.504037436536,136145.2434425305,57885.30567939801,2.351982801932167,96647.52248445261,37133.144632819196,2819.239770434329,-2704.116741184406,9738.95733344533,249459.60404286857
2005-2012,Q5,2005,2012,1472,0.12938523774786126,1239987.9559511212,10594.913327526683,1229393.0426235946,81886.56999783438,15.013365960451242,561320.5185644958,664422.2621713622,14273.970557195365,-9583.2143838097,9554.419041877454,1009870.2437734894
2012-2016,Q1,2012,2016,1645,0.05883734586024669,1248.6533311074013,1727.078665348914,-478.42533424151304,29353.44278532133,-0.01629878095528738,0,0,21.953761824960875,-72.83106087875127,1299.5306301611915,-7260.477274596294
2012-2016,Q2,2012,2016,2133,0.05883734586024669,3410.8707900766144,2565.108531279642,845.7622587969724,43596.605077537184,0.019399727508432645,0,0,161.96056370715448,-348.3747239269301,3597.2849502963904,35997.32940482843
2012-2016,Q3,2012,2016,2528,0.05883734586024669,6642.089424926048,3570.779557341946,3071.309867584102,60688.99786580167,0.050607358427231325,0,0,534.8701046779307,-843.5177202184342,6950.737040466552,165635.93482261582
2012-2016,Q4,2012,2016,2581,0.05883734586024669,5681.819082109755,4258.261339763695,1423.5577423460604,72373.44372871821,0.019669614557545012,0,0,1359.4789813255877,-1745.6430652749727,6067.98316605914,392945.5017597166
