INF_cf,wealth_q,year,mean_IG,mean_IT,mean_NIG,mean_inc,nig_over_inc
0.02,Q1,2023,3176.5768001888346,1437.6166545316316,1738.960145657203,71880.83272658159,0.024192264887523126
0.02,Q2,2023,18840.109588235984,1763.7326316140975,17076.376956621887,88186.63158070487,0.19363906581457613
0.02,Q3,2023,46369.09958069565,1678.856579629333,44690.24300106632,83942.82898146665,0.5323890503015246
0.02,Q4,2023,107019.0375161094,1905.5164075640644,105113.52110854533,95275.82037820322,1.1032549569375605
0.02,Q5,2023,609239.7360468854,2907.5745615848537,606332.1614853005,145378.7280792427,4.17070756840576
0.04,Q1,2023,3836.147891670892,2875.2333090632633,960.9145826076289,71880.83272658159,0.013368161527325794
0.04,Q2,2023,20355.490550830298,3527.465263228195,16828.025287602104,88186.63158070487,0.1908228604037537
0.04,Q3,2023,48863.809027154966,3357.713159258666,45506.09586789631,83942.82898146665,0.5421081993548655
0.04,Q4,2023,109190.1271590761,3811.0328151281287,105379.09434394796,95275.82037820322,1.1060423717753274
0.04,Q5,2023,611239.9181719252,5815.149123169707,605424.7690487555,145378.7280792427,4.164465992017429
0.06,Q1,2023,4495.71898315295,4312.849963594895,182.86901955805504,71880.83272658159,0.0025440581671284665
0.06,Q2,2023,21870.871513424616,5291.197894842293,16579.67361858232,88186.63158070487,0.18800665499293132
0.06,Q3,2023,51358.518473614284,5036.569738887999,46321.94873472629,83942.82898146665,0.5518273484082065
0.06,Q4,2023,111361.21680204282,5716.549222692192,105644.66757935061,95275.82037820322,1.1088297866130947
0.06,Q5,2023,613240.1002969651,8722.723684754561,604517.3766122106,145378.7280792427,4.158224415629099
0.08,Q1,2023,5155.290074635009,5750.466618126527,-595.1765434915188,71880.83272658159,-0.008280045193068863
0.08,Q2,2023,23386.25247601893,7054.93052645639,16331.321949562538,88186.63158070487,0.18519044958210892
0.08,Q3,2023,53853.22792007361,6715.426318517332,47137.801601556275,83942.82898146665,0.5615464974615475
0.08,Q4,2023,113532.30644500954,7622.0656302562575,105910.24081475327,95275.82037820322,1.111617201450862
0.08,Q5,2023,615240.282422005,11630.298246339415,603609.9841756655,145378.7280792427,4.151982839240767
0.1,Q1,2023,5814.861166117065,7188.083272658158,-1373.222106541093,71880.83272658159,-0.019104148553266195
0.1,Q2,2023,24901.633438613244,8818.663158070487,16082.970280542757,88186.63158070487,0.18237424417128653
0.1,Q3,2023,56347.937366532926,8394.282898146666,47953.65446838626,83942.82898146665,0.5712656465148884
0.1,Q4,2023,115703.39608797625,9527.58203782032,106175.81405015592,95275.82037820322,1.1144046162886292
0.1,Q5,2023,617240.4645470448,14537.872807924266,602702.5917391207,145378.7280792427,4.145741262852437
