year,geo_group,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
1999,West Coast,2378,1685566,224999.1415186353,85100,39034.024534192074,29672.70050580029,13005.340423814449,30043.973879654073,28211.282400689146,151642.2115734418,48696.28518847675,0.1779214427305276,21050.92055942298,649.8184368177692,20401.10212260521,0.5226492109399262
1999,Central,7636,8041912,182987.2349840436,75000,39970.457473421746,23987.8400305883,11337.323022909875,33415.5478531867,23342.991062200133,106074.28938478809,33048.12757500952,0.15297554614919046,17158.687668263305,665.4076924996133,16493.27997576369,0.41263675770363284
1999,Oil Prairies,3067,1558915,205382.12248005826,88650,40482.10621618241,25418.831766804276,12332.571396580466,32252.485099926602,50237.3075241434,101015.35064836762,34426.91879993457,0.14355971991789448,25779.449547982673,673.9253585662849,25105.52418941639,0.6201634879210076
1999,East Coast,2852,929225,116061.9566068498,59060,33702.735836853295,14186.369944698707,6367.458038883377,19338.86151357953,15649.31647770992,64165.22772740725,20500.87116575641,0.15012043540789055,10611.460465542124,561.0658746909945,10050.39459085113,0.2982070844189811
2005,West Coast,783,1821575.345,412341.63164552744,153250,47719.36733097636,45773.56562312993,17090.666371171013,52282.43898251534,88009.48990211432,254016.35487950404,69476.02710198019,0.1441956844889915,72771.03323615261,932.4474076167828,71838.58582853583,1.5054387735334205
2005,Central,2366,8321229.3144,262620.64486632147,102600,49545.7398388128,26753.738204394245,14626.36924616644,41675.987861517446,37215.423832752815,175707.64166649207,53742.863147947006,0.16987693519166286,37969.81283930683,968.1351462756559,37001.677693031175,0.7468185521784267
2005,East Coast,803,986363.0505,157220.99966387497,76800,40782.569136522514,20008.0029683644,10344.277579961936,22038.728893413394,16422.874730800755,104949.7063507348,36954.60524109931,0.19031538621540106,22748.39545285458,796.9007762309026,21951.494676623675,0.538256788167011
2005,Prairies unsplit,1315,2218489.022,273801.6160535241,103500,53058.30119520308,36316.2225861424,19975.14049328786,45963.649101958494,46879.29044466383,148963.3053326227,46517.37311094809,0.14522202768023568,49543.45594485658,1036.7714026648914,48506.68454219169,0.9142148061569884
2012,West Coast,2041,1984441.3655,551489.1762209629,247500,60457.8036430903,63234.44187903123,29312.39019949918,70272.50942067282,48556.8234838664,432246.35315594316,116656.94085470236,0.1745979477741863,71268.15762088678,933.6694975589041,70334.48812332787,1.163364923716781
2012,Central,5822,9522856.4493,389649.2551883367,155250,61832.12686192518,51000.29921392156,21375.914602081382,61690.34360422295,51311.12494172945,263526.1404715634,79251.16602188491,0.16901491753268083,62114.86686298607,954.8936173894588,61159.973245596615,0.9891293790066525
2012,Oil Prairies,2166,2027982.8099,486221.98700204166,200000,74065.08721810073,65040.54984756883,25451.117568518468,68709.8062060673,86997.84539964468,321081.3835933642,106419.12862269189,0.1795675760877812,89327.11372143737,1143.8111972743475,88183.30252416302,1.1906190330200805
2012,East Coast,1974,1034598.1938,226585.43856074833,107150,54414.90920261358,25077.0344864622,15381.454355761556,37521.697703857,25731.650357905157,157367.71069660646,55833.10552799449,0.19769631526196935,33377.858618396785,840.347116062066,32537.511502334728,0.5979521417775688
2016,West Coast,1733,2076982.0001,729279.0004499591,313500,66599.7170188644,70904.07612220883,36104.13812268168,95038.46555380114,60952.82728210048,578579.4659865967,135894.96574830692,0.15707241671343217,84620.26994982379,1042.8478839272482,83577.42206589655,1.2549215793548074
2016,Central,6235,10016589.834,474266.74253527937,183400,67116.1198933887,60038.11834818382,24869.19527528313,73894.81015058137,58421.26167537068,336587.2904939084,101123.79299142961,0.17574809933024274,72090.65112974752,1050.9339489896429,71039.71718075787,1.058459834889169
2016,Oil Prairies,2692,2189374.4285,556841.6134860438,199750,87718.47511220259,93451.59180900642,31913.93617206445,86555.87597517838,93473.75737772476,357909.88133617287,135947.50885554546,0.19623216426385326,110193.03875581677,1373.5347573049678,108819.50399851179,1.240553986595394
2016,East Coast,1769,1066442.0003,261541.65404467538,111902,59586.23461484462,28706.136828662377,18077.806963980805,51071.25065461382,25962.029523722053,171709.81992390074,57767.569637605266,0.1809141902367506,36477.84058841083,933.0276682959818,35544.81292011485,0.5965272541530863
2019,West Coast,1293,2245418.0018,734727.7416358462,322150,72711.13673780893,63395.43676545502,32222.041549644964,103039.8873674443,69542.21497501801,575285.3245497869,142674.59479883287,0.16261022893851698,47011.9233032288,327.82951175847063,46684.09379147033,0.6420487408938438
2019,Central,5231,10380179.9982,554731.1203050098,220075,73085.04263425303,68311.1686096755,30738.307114293988,86204.7918531739,65181.823282557845,385284.0134569508,103335.6535781386,0.1570291309016731,46647.2026751151,329.5153248673605,46317.68735024773,0.633750568937068
2019,Oil Prairies,2276,2190556.9995,629670.9627842566,240250,86517.81028736022,96067.17841123785,40570.648167969775,100752.72358543875,129412.75052611865,369201.93268408853,139144.99376545876,0.1809860898177924,75615.2713244938,390.0790549760284,75225.19226951778,0.8694763774032752
2019,East Coast,1622,1098213.9999,285632.77147666784,129025,63298.32306082862,31923.87854722125,16578.67940729002,59876.910380140675,33286.27731642115,183806.2321102473,62599.1332718504,0.1797627742267253,23204.58380712573,285.3903717526545,22919.193435373076,0.36208215837484536
2023,West Coast,2634,2417700.0005,1099500.7494527996,620825,86790.86353383157,127513.00904120173,43003.48549424428,127742.03685409787,66653.61950908722,825076.237043325,170634.77502781284,0.1343437544569028,120187.07059708795,3241.5776532743976,116945.49294381354,1.3474401357722121
2023,Central,8355,10948599.0037,821608.3861083022,390755,89411.31825601541,107988.62000868797,42861.82324247863,113147.91672470196,100260.90399673395,538655.4889904673,137324.21041072384,0.1432052794004685,126458.64117330595,3339.4497923796544,123119.1913809263,1.3769978318448861
2023,Oil Prairies,2612,2313943.003,752037.0398494262,310550,128589.74842794103,121552.09893973662,46336.5035627156,117034.16892494906,134758.8603304906,408976.67175845726,139735.9767018922,0.15669455579883076,152171.62795514317,4802.7365781618955,147368.89137698128,1.146039191915549
2023,East Coast,2640,1170679.998,424016.7189688638,209750,125539.76666002012,51104.64719137683,23315.670937781695,87291.93440696494,31366.97110356455,258970.2651960502,77057.53734768432,0.15378466639683855,52511.397091088686,4688.8219062801845,47822.5751848085,0.38093567048215854
