year,housing_status,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
1999,owner_mortgage,5130,3991400,183027.274815353,103200,51957.986699904795,17003.648735366336,7655.7689675791235,25105.357860766522,31213.78534524227,168082.28428997344,89769.0663874831,0.32906990611261844,17423.561237722937,864.9699358557164,16558.591301867218,0.31869193464914525
1999,owner_free_clear,5430,3382065,402550.5178821223,249100,45502.12272679561,57409.76672159902,26402.210872293017,68162.98798689958,50669.63601083953,183097.5735960131,9643.376846689818,0.02339524425279109,38371.6827786149,757.4960208450004,37614.1867577699,0.8266468574139596
1999,renter,5373,4842153,38588.62059356654,6000,24861.393001212477,6959.630392268183,3797.0951901988783,11746.396946085837,6645.180644023433,7354.127599850727,6123.457808747473,0.1369531014337853,4997.745740294928,413.87973005470434,4583.866010240223,0.18437687743469042
2005,owner_mortgage,1777,4556832.1058,287122.97708285035,156000,65900.74387754394,19869.555142557954,12182.368223244863,31221.258042331654,69039.29863702688,258766.1459344259,132370.14670912953,0.3155478342829043,50510.76534543956,1287.7156849635069,49223.049660476056,0.746927071899853
2005,owner_free_clear,1858,3708476.1393,597477.8581032443,346450,58924.66519104388,77313.39885798158,36247.803402089165,96228.90281209092,71132.93531849963,304942.1071999608,19242.95190475314,0.03120204733241222,87168.05782154034,1151.4015037330455,86016.65631780728,1.459773357030142
2005,renter,1632,5082348.4868,34400.87637372379,5250,27216.202071238597,5715.696894662583,3427.949007087046,13105.608889990915,2321.5280882901025,9598.135185079374,7646.245191055185,0.18184943241061496,5397.7978504725515,531.8108450701814,4865.98700540237,0.17879008219683318
2012,owner_mortgage,4097,4926150.5598,399773.91253500583,224000,81530.41218335267,36337.05189381885,17503.637473405095,47512.2849762636,52711.67413394791,428428.38468883716,210832.656902844,0.34528396426678715,55798.39129855471,1259.1006353519965,54539.29066320271,0.6689441302044447
2012,owner_free_clear,4678,4185622.509,876009.5094903284,526300,77862.60392770049,119321.51736234229,50064.641058070585,132904.07793163735,108507.77673939757,470227.17055555497,35714.75829460095,0.0391727625956161,137446.041350939,1202.4574812041271,136243.58386973487,1.7497948565429968
2012,renter,3228,5458105.7497,71353.50383021952,5625,34400.061180557015,16592.336030563652,6133.867527922248,21022.52749090125,13594.545023723344,18789.0952660892,13135.587021591215,0.15547080562898138,18038.573707862637,531.2513174983163,17507.32239036432,0.508932885278108
2016,owner_mortgage,4471,5441424.3167,512396.3768843294,286575,91597.70055987747,42574.41256764524,21916.832945147602,58156.36534833456,69159.40601581906,547992.0999486462,257294.31116621994,0.33428273871662345,69943.51597143518,1434.2773885122235,68509.23858292295,0.7479362272652076
2016,owner_free_clear,4290,4051911.7794,1112113.4006769825,642500,83762.57431183633,167071.55064789712,63375.36587128005,172217.94582445786,121595.83790724554,596631.2579619776,43972.45500693657,0.03803563099638762,174013.25248372665,1311.5915094452278,172701.66097428143,2.061799824004183
2016,renter,3668,5856052.1668,80077.34157841037,8700,38998.011633103524,12847.054824244771,6351.118754056676,28563.534948552042,12823.402189478084,23995.434179089905,13010.930355452465,0.13976981294374488,15767.258308758433,610.648148811694,15156.610159946738,0.38865084462616617
2019,owner_mortgage,3722,5536645.8926,568976.0162080798,309900,99100.59678701764,48535.26092833936,24991.77867714282,74656.61968697775,72907.09845872762,587089.5561235428,272783.5732877493,0.3240635172937355,42416.630515310455,446.81051235398485,41969.820002956476,0.42350723773294774
2019,owner_free_clear,3679,4394842.2203,1218395.5683152995,709150,82575.65523910032,165760.0991531198,68311.94495574756,186769.8025151161,144570.85345425853,653031.2029413418,36417.45497115918,0.029022216294646727,106691.33422464825,372.3052334855548,106319.0289911627,1.2875347907723254
2019,renter,3021,5982880.8865,99637.7537442274,13550,45019.81728953564,16667.443004618654,10013.490242044334,29831.78878715633,19015.084248956908,30288.72065949495,16079.887776837657,0.13895796324115797,12895.709923837205,202.97887481395415,12692.73104902325,0.28193652958190785
2023,owner_mortgage,5832,6143888.6196,886152.3375093762,515075,113216.94649374549,80839.55535407814,35685.80942718926,91802.35567287693,128487.30393108769,797890.7760368746,329622.8306337033,0.27112153568422886,131388.76167323737,4228.573248185615,127160.18842505176,1.1231550784853268
2023,owner_free_clear,6781,4773193.8518,1554256.964318676,977400,96182.64753806144,238697.98844967692,86493.94558252429,226507.69230793422,123079.1705484909,845915.8797631338,39554.03868623955,0.024817270436498277,217152.96494067815,3592.354174130469,213560.61076654767,2.220365276200547
2023,renter,3628,5933839.5338,173090.52670535867,28150,80654.09411357963,32977.48791503011,12750.538978215545,46422.865773805126,38847.945130108834,34034.83532133091,19487.746401151424,0.10119389943004241,41281.97826510566,3012.3736356391537,38269.6046294665,0.47449053950781517
