year,sfs_region,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
1999,Atlantic,2852,929225,116061.9566068498,59060,33702.735836853295,14186.369944698707,6367.458038883377,19338.86151357953,15649.31647770992,64165.22772740725,20500.87116575641,0.15012043540789055,10611.460465542124,561.0658746909945,10050.39459085113,0.2982070844189811
1999,British Columbia,2378,1685566,224999.1415186353,85100,39034.024534192074,29672.70050580029,13005.340423814449,30043.973879654073,28211.282400689146,151642.2115734418,48696.28518847675,0.1779214427305276,21050.92055942298,649.8184368177692,20401.10212260521,0.5226492109399262
1999,Ontario,3753,4480407,210715.64435864866,95000,43970.230044725846,28506.250638324513,13388.801733582375,37862.33474091568,20853.18720241264,130443.43629585438,39869.13984622379,0.1591043924423906,18391.941410012143,731.9938565174871,17659.947553494654,0.40163418602839296
1999,Prairies,4313,2004977,193589.5605809942,85500,39763.68671560821,24137.738462395064,12527.63653864749,32046.41402496622,44236.98713900459,93816.86970324347,31491.714718423205,0.13991263678656043,23660.73164603132,661.965478886607,22998.766167144713,0.5783861625214228
1999,Quebec,2637,3115443,147493.0043438445,56450,34607.36095284041,18109.36080903904,8118.999600189444,27319.64135263973,26934.552974007227,76385.31502582457,24930.206359737604,0.14458729922734048,15514.333295547021,576.1256100319385,14938.207685515084,0.43164827580674064
2005,Atlantic,803,986363.0505,157220.99966387497,76800,40782.569136522514,20008.0029683644,10344.277579961936,22038.728893413394,16422.874730800755,104949.7063507348,36954.60524109931,0.19031538621540106,22748.39545285458,796.9007762309026,21951.494676623675,0.538256788167011
2005,British Columbia,783,1821575.345,412341.63164552744,153250,47719.36733097636,45773.56562312993,17090.666371171013,52282.43898251534,88009.48990211432,254016.35487950404,69476.02710198019,0.1441956844889915,72771.03323615261,932.4474076167828,71838.58582853583,1.5054387735334205
2005,Ontario,1390,4962719.77,310634.0279093584,139550,54017.0642240525,29340.037305480506,17719.755077626065,48069.056614487294,46999.266521926635,213736.59125618127,67016.55790498343,0.17745651780328417,45528.362210976455,1055.505852653903,44472.85635832255,0.8233112442738022
2005,Prairies,1315,2218489.022,273801.6160535241,103500,53058.30119520308,36316.2225861424,19975.14049328786,45963.649101958494,46879.29044466383,148963.3053326227,46517.37311094809,0.14522202768023568,49543.45594485658,1036.7714026648914,48506.68454219169,0.9142148061569884
2005,Quebec,976,3358509.5444,191673.41005808156,63575,42938.66320813544,22932.0793672189,10055.410962715992,32229.235285144827,22758.275833547963,119513.95888367303,34128.916389472535,0.15114510521838878,26800.88153111629,839.0313500440287,25961.850181072263,0.6046264192070461
2012,Atlantic,1974,1034598.1938,226585.43856074833,107150,54414.90920261358,25077.0344864622,15381.454355761556,37521.697703857,25731.650357905157,157367.71069660646,55833.10552799449,0.19769631526196935,33377.858618396785,840.347116062066,32537.511502334728,0.5979521417775688
2012,British Columbia,2041,1984441.3655,551489.1762209629,247500,60457.8036430903,63234.44187903123,29312.39019949918,70272.50942067282,48556.8234838664,432246.35315594316,116656.94085470236,0.1745979477741863,71268.15762088678,933.6694975589041,70334.48812332787,1.163364923716781
2012,Ontario,2929,5445438.0282,432880.4322304546,180999,66828.15337860033,54962.959427439695,25239.887061165104,64648.717732360885,50842.517463381795,310327.2757815333,91515.55324456439,0.1745161209837751,65937.59524280271,1032.04887753011,64905.5463652726,0.97123058297847
2012,Prairies,2906,2527467.0182,454400.31671743066,187625,70611.90934975739,59619.26428903432,24141.47701645075,66193.6663447518,79709.77201357583,297273.9685228746,97552.03004528616,0.17673994977545332,82219.53405494148,1090.4826499068129,81129.05140503467,1.1489428929500178
2012,Quebec,2153,3577934.2128,332850.83024052123,120250,54960.02450624489,46838.908098092215,15851.372332913317,57985.330488190375,52190.73440084116,201080.00609450307,63056.44968056049,0.15927075069983523,57518.82235664387,848.7655087423183,56670.05684790154,1.0311141117024494
2016,Atlantic,1769,1066442.0003,261541.65404467538,111902,59586.23461484462,28706.136828662377,18077.806963980805,51071.25065461382,25962.029523722053,171709.81992390074,57767.569637605266,0.1809141902367506,36477.84058841083,933.0276682959818,35544.81292011485,0.5965272541530863
2016,British Columbia,1733,2076982.0001,729279.0004499591,313500,66599.7170188644,70904.07612220883,36104.13812268168,95038.46555380114,60952.82728210048,578579.4659865967,135894.96574830692,0.15707241671343217,84620.26994982379,1042.8478839272482,83577.42206589655,1.2549215793548074
2016,Ontario,3239,5733299.002,567748.5026562315,251350,72650.62561781293,75652.07583998013,29477.18149429679,80591.0277453913,59887.401688373044,420653.91128137184,119123.22790107963,0.17342863682048165,83111.68377759069,1137.595692337054,81974.08808525362,1.1283328586389312
2016,Prairies,3412,2702097.259,526748.3473197143,198100,83809.13113840566,84145.70139734964,29852.630469272623,84601.81286652811,87665.95685390047,338893.31722234876,127116.84209040696,0.19440833393361148,101497.86352913814,1312.3205168681338,100185.54301227,1.1954012844593234
2016,Quebec,2276,3770568.0015,342461.1441881334,123510,58700.71765678843,38421.76861298768,18381.813590552436,63391.6269233644,55587.52627915352,219489.00550095612,75347.90567934541,0.18034053044864473,56382.77095274496,919.1618513341915,55463.60910141078,0.9448540207923115
2019,Atlantic,1622,1098213.9999,285632.77147666784,129025,63298.32306082862,31923.87854722125,16578.67940729002,59876.910380140675,33286.27731642115,183806.2321102473,62599.1332718504,0.1797627742267253,23204.58380712573,285.3903717526545,22919.193435373076,0.36208215837484536
2019,British Columbia,1293,2245418.0018,734727.7416358462,322150,72711.13673780893,63395.43676545502,32222.041549644964,103039.8873674443,69542.21497501801,575285.3245497869,142674.59479883287,0.16261022893851698,47011.9233032288,327.82951175847063,46684.09379147033,0.6420487408938438
2019,Ontario,2698,6001566.0013,680271.1545274078,308000,77969.89333345524,80865.69265946187,36034.51263926937,95104.22313433612,67586.8546909476,500135.1628622124,123295.18204557431,0.15343497659620572,52440.85883449789,351.5394368752227,52089.31939762267,0.6680696506131071
2019,Prairies,2806,2719829.9986,593000.2861934952,227600,83355.02960122765,89488.19426141038,37446.51596027491,96980.34525915049,117388.8551857191,350082.7188999483,129625.4193747617,0.17938113517955626,69428.37653371142,375.8191644743468,69052.55736923708,0.828415006264002
2019,Quebec,2003,3849340.9978,374606.1507302125,135700,65856.75879904635,49569.36505404345,23336.41386283984,72994.70629366601,61096.267081647944,221938.14944593344,74019.01979805747,0.16499078665358385,38002.677710859796,296.92547870538647,37705.75223215442,0.5725418760314154
2023,Atlantic,2640,1170679.998,424016.7189688638,209750,125539.76666002012,51104.64719137683,23315.670937781695,87291.93440696494,31366.97110356455,258970.2651960502,77057.53734768432,0.15378466639683855,52511.397091088686,4688.8219062801845,47822.5751848085,0.38093567048215854
2023,British Columbia,2634,2417700.0005,1099500.7494527996,620825,86790.86353383157,127513.00904120173,43003.48549424428,127742.03685409787,66653.61950908722,825076.237043325,170634.77502781284,0.1343437544569028,120187.07059708795,3241.5776532743976,116945.49294381354,1.3474401357722121
2023,Ontario,4137,6383578.0019,995743.9208502265,531050,90548.47339744975,124031.34895673474,49065.73561868628,122036.92960110358,116142.49948623424,688740.2584627714,170735.1466090804,0.14636794724568564,146438.63615312203,3381.921736368813,143056.71441675324,1.579890958391159
2023,Prairies,3793,2880727.0052,712331.180552828,296050,130656.91877395698,111395.37866050494,43527.01018827138,117382.87971190111,124384.37773453775,386601.7576027382,132146.06876922108,0.15648268662691467,140204.7780098421,4879.943935322764,135324.8340745193,1.0357265068269217
2023,Quebec,3037,3998236.9996,582054.2771817844,266000,80552.46885763675,87769.99962902235,34488.340540627505,98153.5796658951,77488.80689734088,333534.5983511805,89107.00488732629,0.13276541312487508,99535.69033419463,3008.578003872634,96527.112330322,1.1983135178751356
