year,wealth_q,n,w_sum,mean_nw,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,mean_INC,debt_asset
1999,Q1,2730,2445185,-2310.9758001950772,491.77191750317456,273.9360703995812,703.3524872760138,-170.4334727229228,3346.650729903872,9448.468344521989,19165.931926214173,1.3237797848254018
1999,Q2,3026,2441291,21888.33783109019,3181.0707015263647,1896.3833803917682,3462.589442594103,400.23530132212835,29658.509168714423,26332.71733685169,30808.18059543086,0.5460833912725762
1999,Q3,3230,2443537,77385.02517170805,9377.585181030612,5321.141888786624,7789.310413142915,1729.2426286158138,88150.94608389396,50969.40455781926,40296.96176976244,0.39709891326091096
1999,Q4,3100,2443618,179131.00607950997,24192.073689995734,13384.693163374963,16594.69847508899,7294.793487361772,138620.9076254963,42808.628771354604,46003.83921259378,0.19288410923141536
1999,Q5,3847,2441987,656937.6188632454,137333.40824353285,58889.43986192392,53499.33467807159,125111.30495289287,282973.03004315746,42599.26766932011,60893.036534183026,0.060896385150573454
2005,Q1,859,2669889.8645,-4847.4782861181575,524.3309084955889,330.299277495759,848.3374928846058,721.230020240185,7616.659814789149,17616.799345024105,22867.829859317593,1.379619109250706
2005,Q2,964,2672631.4321,25710.494426166337,4064.600645990996,2448.8838561091247,4580.639038394329,597.1933644622275,33787.283856473136,29961.36189855458,35553.527615228486,0.538177885138174
2005,Q3,1021,2669746.3941,105856.01242653315,11526.812153840563,6819.332409456068,11158.964363230376,2746.0930479655476,125282.5502798943,70608.79136141442,48005.91511707812,0.40012960004343345
2005,Q4,951,2666310.6127,249459.60404286857,29903.742997892525,16670.35698347162,20899.73159421817,11489.378985188441,219034.35881516623,75271.00852435785,57885.30567939801,0.23179523460780924
2005,Q5,1472,2669078.4285,1009870.2437734894,173678.3736934042,84402.96112996145,74067.29353842465,205579.11945696283,498180.4175380248,73844.73845846752,81886.56999783438,0.06814036870320013
2012,Q1,1645,2919356.3712,-7260.477274596294,890.631129243715,450.89308812676694,1237.837292180771,79.85953345376213,9133.864226598982,22086.83296571364,29353.44278532133,1.4897007346819646
2012,Q2,2133,2911761.0257,35997.32940482843,5969.083261198724,3326.3956904935126,5920.979589297018,752.9867795993351,70768.03318975322,61139.48373607531,43596.605077537184,0.6294161992671946
2012,Q3,2528,2911217.1173,165635.93482261582,20757.77240457446,10985.32612168161,14336.433907504908,3050.7655908241795,216606.26096324858,118134.78223467588,60688.99786580167,0.4163036392892686
2012,Q4,2581,2915078.7016,392945.5017597166,55752.60951107651,27921.395932991447,29668.963474683384,9661.020663652329,347032.8268934146,103131.49033731243,72373.44372871821,0.20789412123580336
2012,Q5,3116,2912465.6027,1481273.3367908162,287231.2913953149,121143.53206191031,102172.00095677747,257022.42349327303,791874.9531533422,127974.73597671711,108157.34102787692,0.0795245544440083
2016,Q1,1910,3074449.0455,-5743.009029273892,833.8971936339806,490.5511454976267,1692.6238994585317,21.684300731989477,9848.583564590157,21584.935039214815,31790.338365802167,1.3625196220251319
2016,Q2,2178,3066811.8923,42351.871170367056,7358.643406267357,3956.5493555362523,7489.544231353446,1232.1624290026887,75875.76869830472,64515.554028077684,50606.81179250184,0.6036970939299527
2016,Q3,2512,3068380.8873,194379.8638962498,25459.042457177657,13431.222773238675,17202.685535616554,4109.949108177428,250378.69907223692,136068.30501544947,67736.91471760768,0.4117689786679042
2016,Q4,2576,3070042.1181,473488.07158898574,69594.22368637138,36041.67286426849,34864.073740777836,13353.94437728903,429017.14966283145,138142.3127222153,79908.94814438962,0.22585914020243916
2016,Q5,3253,3069704.3197,1824605.7549994874,357661.52634673676,149727.0615094439,114245.69956771703,288842.8860760548,1039689.6020756391,178708.33911721912,117304.15412954862,0.08920635043802978
2019,Q1,1662,3185694.9815,-7327.268988996271,1609.9485232071017,912.842641359794,2095.5551839116647,-952.6723917703795,15553.238211807755,30744.74748447727,39624.300291546126,1.3128974364345098
2019,Q2,1771,3180645.8939,57258.347440982325,11599.227924504528,6249.106219760017,9897.224107138385,1097.706417625272,83761.3803144479,68690.85969754122,56816.66161943369,0.5453854078016743
2019,Q3,2039,3185669.3104,225549.41529232715,31221.1683239626,17150.080008193858,17587.269911482777,4866.24303628458,273885.00842011865,139819.71117386888,72039.86970867797,0.3826806947981277
2019,Q4,2110,3180104.3611,533036.1256198167,77767.49457918794,40683.219883944206,34683.759893385235,18982.831344318332,474481.7307935908,143529.59223813162,85893.19188776953,0.21214434673479435
2019,Q5,2840,3182254.4525,2051559.1936684789,400827.8876294926,181949.35882912064,111075.43121589722,338271.42373133847,1132630.4330864442,172291.6715125242,116694.3014302028,0.07747447196667168
2023,Q1,1989,3371823.1734,-2381.1313985619395,3120.1200692012985,1708.1406313407508,4262.9583290835035,205.75071687150412,17982.373163413824,37241.51290318639,71880.83272658159,1.0683048003432223
2023,Q2,2541,3369390.8906,116637.85944125669,20375.88256394102,10731.582658947149,16235.508753365952,3541.992028395169,135107.845066858,92004.55688308169,88186.63158070487,0.44096765415168
2023,Q3,3113,3376603.1931,389029.7878985281,51880.393781790684,26641.507990995553,28153.52745844931,9226.878495686424,381183.223405574,152888.99978141527,83942.82898146665,0.2821252985820291
2023,Q4,3583,3363424.277,840494.3850525786,125105.46548928336,61602.43291034236,53045.333494467406,22987.997346659606,661651.7168165446,161599.81564280318,95275.82037820322,0.16126210043992315
2023,Q5,5015,3369680.4711,2779128.260972301,546022.8722279286,227373.4969279757,147568.33597674826,441082.7386877866,1517486.7079192516,247577.4422287426,145378.7280792427,0.08179765940471344
