period,income_q,year0,year1,infl_cum,hp_ratio,n,mean_inc,mean_nw0,mean_d_stk,mean_d_bus,mean_d_bnd,mean_d_liq,mean_d_dbt,mean_d_hous,mean_d_total_no_hous,mean_d_total
1999-2005,Q1,1999,2005,0.13786598249320847,1.142301171053441,3071,9842.484924428009,71399.8313703661,10525.057450411472,6630.559907034443,564.076247558696,-1583.4775658559975,1333.988451201984,5010.953062205626,17470.204490350596,22481.157552556222
1999-2005,Q2,1999,2005,0.13786598249320847,1.142301171053441,3277,21954.531949230808,106324.34293553093,7269.665865635378,11498.767035530822,647.901745488414,-2916.703037147967,1911.991234882486,8394.562781720171,18411.622844389134,26806.1856261093
1999-2005,Q3,1999,2005,0.13786598249320847,1.142301171053441,3103,33435.547547721464,151774.57411124476,12868.204311550995,17078.002826304568,1154.490818464951,-3819.2895354126504,4201.905049702578,12996.368906915171,31483.313470610443,44479.68237752561
1999-2005,Q4,1999,2005,0.13786598249320847,1.142301171053441,3065,48214.06678483513,203154.6629000981,20491.954085625603,25289.76962477599,1459.767012931186,-4940.807424300532,6892.964593232908,18273.33665129255,49193.64789226515,67466.9845435577
1999-2005,Q5,1999,2005,0.13786598249320847,1.142301171053441,3417,83772.71488632448,400405.99464531016,58106.95200136645,60741.99704424741,3114.1014073276883,-8619.810707756576,9398.680887415343,30492.585276106798,122741.92063260032,153234.50590870713
2005-2012,Q1,2005,2012,0.12938523774786126,1.096919922428242,920,11625.273550595592,83690.8309039891,1370.3384163034348,2980.7872555305594,426.7421799258441,-2178.263397045077,1682.3662126845136,5229.665623535519,4281.970667399275,9511.636290934795
2005-2012,Q2,2005,2012,0.12938523774786126,1.096919922428242,948,25970.98047643556,130559.26094184449,3622.108726022916,6088.356405799623,1334.410537496895,-2714.2323402686307,3213.4816835463757,7896.973586957834,11544.125012597178,19441.098599555015
2005-2012,Q3,2005,2012,0.12938523774786126,1.096919922428242,1013,39703.136419564864,253986.08792344807,6054.6978842219805,11749.139813597734,1973.6244707243445,-5201.289463239492,6200.764399801731,17006.230668885735,20776.9371051063,37783.167773992034
2005-2012,Q4,2005,2012,0.12938523774786126,1.096919922428242,1016,59594.50865242917,282710.90710255556,11983.987420917538,9445.039254925388,3155.693856233522,-6255.142991783156,9180.418238437056,18986.33906385123,27509.995778730347,46496.33484258158
2005-2012,Q5,2005,2012,0.12938523774786126,1.096919922428242,1370,109439.2583913908,635762.753234505,30379.09623308911,47325.46126165113,6255.249916642738,-11091.000329209337,14327.348155931913,34818.31507012926,87196.15523810555,122014.47030823481
