period,age_band,year0,year1,n,mean_nw0,median_nw0,mean_d_stk,mean_d_bus,mean_d_bnd,mean_d_liq,mean_d_dbt,mean_d_hous,mean_d_total_no_hous,mean_d_total
1999-2005,<35,1999,2005,3502,66844.65088011473,12600,5579.385489672337,11473.746487044395,310.0200950814547,-1408.7065500377628,4926.542178800725,7988.354664355221,20880.98770056115,28869.34236491637
1999-2005,35-44,1999,2005,3770,154738.28028241466,69000,13373.810909625365,30277.849769102708,948.2683165447352,-2881.2678616162393,6761.928999853374,14704.860551787297,48480.59013350994,63185.45068529724
1999-2005,45-54,1999,2005,3139,255760.9408080594,128650,35404.04160499945,37177.3907909598,1804.4223498055408,-4897.671543966572,6278.31193068507,20462.63388571815,75766.4951324833,96229.12901820145
1999-2005,55-64,1999,2005,2151,308084.7352191926,163700,40688.55697905866,34967.31066407397,2729.2677587843095,-7483.985450624749,3678.2303700305724,21209.335492524824,74579.38032132277,95788.7158138476
1999-2005,65+,1999,2005,3371,242790.24330553878,149200,29109.32017338457,12973.33212629546,2160.2917862086138,-7936.099160384696,825.7113465197176,15414.864910883545,37132.55627202367,52547.42118290721
2005-2012,<35,2005,2012,1006,66784.47116927647,11000,1843.2555654187372,1891.8752092154473,949.7833255624104,-1436.0164858328892,6098.989911432864,6801.713436372784,9347.887525796568,16149.600962169354
2005-2012,35-44,2005,2012,1092,267262.30596593773,101400,8257.74791195281,18955.46976244839,2171.0301545535676,-2726.0736963409845,11670.518417621272,21280.555115596428,38328.69255023506,59609.24766583148
2005-2012,45-54,2005,2012,1145,362682.5619907212,158450,14824.097591729245,27663.73529739677,3416.7850011857217,-6568.653415743877,8629.794913554317,20307.139005799436,47965.75938812218,68272.89839392161
2005-2012,55-64,2005,2012,894,432860.12041861203,220400,16248.882364022164,28519.548365106413,3601.492161537084,-9667.2222746578609,5679.557756295287,21241.830679245188,44382.258372303084,65624.08905154828
2005-2012,65+,2005,2012,1130,356841.9403438271,200000,16582.8509068659,5720.303183573594,3813.8793263196917,-9820.525287595057,1309.6007105436454,17475.936289975733,17606.108839707776,35082.04512968351
2012-2016,<35,2012,2016,1978,128191.53923988559,13925,1226.1280214798305,3321.8974480922366,182.23587336035925,-1088.492928843966,5014.707128132161,5628.199653682817,8656.475542220622,14284.675195903439
2012-2016,35-44,2012,2016,1858,316265.9003060539,136250,3550.4560632196385,6071.745743331147,684.0399925102754,-1985.0207556820633,8843.2013124316,12883.805438161633,17164.422355810602,30048.227793972233
2012-2016,45-54,2012,2016,2494,522928.9784395598,250250,7633.543156024409,11341.085389685146,1349.9014677695648,-3842.7502139931366,6303.387619780549,14446.485560475061,22785.16741926653,37231.65297974159
2012-2016,55-64,2012,2016,2492,602671.2284983287,302700,11327.788691547457,10406.281413845865,1748.2383074488446,-5837.12783596078,4244.881730885023,13791.370408153985,21890.06230776641,35681.43271592039
2012-2016,65+,2012,2016,3181,544010.3593929573,305700,10752.475443419324,4291.531296222827,1674.279375156636,-5867.462714169688,1410.6198412776457,11917.754957758045,12261.443241906743,24179.198199664792
2016-2019,<35,2016,2019,2123,148744.64965880464,20450,-2818.591606973337,-4475.770213086287,-118.0761740780648,-1056.9644258795954,4424.484826470925,-9846.143628228472,-4044.9175935463595,-13891.061221774831
2016-2019,35-44,2016,2019,1949,365884.1220594541,135500,-10020.555737778677,-18781.575038975432,-463.82171507258226,-1708.7777817056874,7404.943537035583,-20364.897841592203,-23569.786736496797,-43934.684578089
2016-2019,45-54,2016,2019,2314,581583.6192811759,260000,-17468.776813320415,-25898.210747070778,-874.9544410243292,-2994.3754220467063,6544.092774169561,-26027.45497548741,-40692.224649292664,-66719.67962478007
2016-2019,55-64,2016,2019,2622,790784.4653741184,363800,-33124.896229938015,-30278.60693349287,-1093.503990269156,-5526.732829695971,4699.758972767127,-27501.91206824442,-65323.98101062887,-92825.8930788733
2016-2019,65+,2016,2019,3421,668835.2440516046,357500,-29565.747755689667,-13430.80319282464,-1088.2339314164205,-5410.234719723341,1418.112996388583,-20902.37781224452,-48076.90660326548,-68979.28441551
2019-2023,<35,2019,2023,1754,195438.9918090939,37200,3851.7671515635056,10853.527408757616,-1120.0069328338097,-4268.571534286035,15438.98588294012,-20511.004553856703,24755.701976141398,4244.697422284694
2019-2023,35-44,2019,2023,1634,396174.5599360247,154125,9792.146853782559,21457.00561497801,-2555.5688420011475,-6550.148656034177,26351.26019342773,-39931.942212500726,48494.695164152974,8562.752951652245
2019-2023,45-54,2019,2023,1853,712391.3075903289,310400,23938.488324458547,34452.20917954424,-6054.053524679964,-10887.718687309618,25983.40225845063,-57944.47331171898,67432.32755046383,9487.854238744843
2019-2023,55-64,2019,2023,2224,787195.9166153785,393000,29261.0009871125,26122.748305072215,-6420.458389919587,-19956.171088491883,13365.4884308092,-50927.61792272966,42372.60824458244,-8555.009678147208
2019-2023,65+,2019,2023,2957,744227.0416478127,363750,33227.95974769407,18542.985848363478,-5581.431795979156,-20108.01487396226,4265.2229390111,-42404.231625515975,30346.72186512723,-12057.509760388744
