period,year0,year1,mean_d_stk,mean_d_bus,mean_d_bnd,mean_d_liq,mean_d_dbt,housing_toggle,denom_mean_dnw,share_unstable,share_stk,share_bus,share_bnd,share_liq,share_dbt,mean_d_hous,share_hous
1999-2005,1999,2005,21844.370864828135,24237.62682712464,1387.6535334389707,-4374.639685907466,4746.565185356435,ca25y_housing,62870.470620030224,FALSE,0.34745041112939634,0.3855168664731237,0.022071626309679175,-0.0695817868510392,0.07549752910302221,15028.893895189509,0.23904535383581774
1999-2023 (sum),1999,2023,41333.75773776096,50525.17019307718,25.938346760402055,-29670.147136674022,37456.330430575435,ca25y_housing,80679.39452602653,FALSE,0.5123211196686289,0.6262462737840473,3.2149902602497286e-4,-0.36775371593923734,0.46426142202259985,-18991.655045473424,-0.23539659856206366
2005-2012,2005,2012,10673.649168980255,15504.374414886484,2627.2735431056058,-5483.988086361357,6915.439262665182,ca25y_housing,47010.283248915264,FALSE,0.22704924181086578,0.32980814714074796,0.05588720938341142,-0.11665507432329493,0.14710482015282797,16773.534945639094,0.35680565583544177
2012-2016,2012,2016,6738.118392648655,6904.944866322021,1100.3069099441652,-3654.9810749778208,5087.341864753297,ca25y_housing,27675.143272005356,FALSE,0.24347185221131493,0.24949987786717914,0.039757948102735745,-0.1320672864835716,0.18382350597979996,11499.412313315039,0.4155141023225418
2016-2019,2016,2019,-18559.307458625273,-17809.62446399144,-723.249181612041,-3358.7366081441505,4702.9811760685,ca25y_housing,-56263.66589940975,FALSE,0.32986310369122207,0.3165386431775018,0.01285464020252595,0.0596963698410449,-0.08358824653332511,-20515.729363105344,0.3646354896210303
2019-2023,2019,2023,20636.92676992919,21687.848548735477,-4366.046458116299,-12797.801681283227,16004.00294173202,ca25y_housing,-612.8367155145648,TRUE,NA,NA,NA,NA,NA,-41777.76683651172,NA
1999-2005,1999,2005,21844.370864828135,24237.62682712464,1387.6535334389707,-4374.639685907466,4746.565185356435,no_housing,47841.57672484072,FALSE,0.45659805466833436,0.5066226593351337,0.029005179771143728,-0.09144012353664814,0.0992142297620363,NA,NA
1999-2023 (sum),1999,2023,41333.75773776096,50525.17019307718,25.938346760402055,-29670.147136674022,37456.330430575435,no_housing,99671.04957149996,FALSE,0.41470174053008046,0.5069192148602035,2.60239526642036e-4,-0.29768069328285607,0.3757994983659301,NA,NA
2005-2012,2005,2012,10673.649168980255,15504.374414886484,2627.2735431056058,-5483.988086361357,6915.439262665182,no_housing,30236.74830327617,FALSE,0.353002547162909,0.5127659316860661,0.086890082119741,-0.18136831485173832,0.2287097538830222,NA,NA
2012-2016,2012,2016,6738.118392648655,6904.944866322021,1100.3069099441652,-3654.9810749778208,5087.341864753297,no_housing,16175.730958690317,FALSE,0.4165572739715135,0.42687065480724873,0.0680220827580612,-0.22595461585704746,0.3145046043202241,NA,NA
2016-2019,2016,2019,-18559.307458625273,-17809.62446399144,-723.249181612041,-3358.7366081441505,4702.9811760685,no_housing,-35747.936536304405,FALSE,0.5191714335672791,0.4982000694195197,0.020231914109994385,0.09395609743049449,-0.13155951452728776,NA,NA
2019-2023,2019,2023,20636.92676992919,21687.848548735477,-4366.046458116299,-12797.801681283227,16004.00294173202,no_housing,41164.93012099716,FALSE,0.5013230123134068,0.5268525534960904,-0.10606228275580849,-0.3108908880366446,0.388777604982956,NA,NA
