year,age_band,n,w_sum,mean_tc001,median_tc001,mean_hhtotinc,median_hhtotinc,mean_cy_ratio,mean_share_necessities,mean_share_shelter,mean_share_discretionary,mean_share_food,mean_share_health,mean_share_clothing,mean_share_transport,mean_shelter_over_inc,mean_mortpay_over_inc,mean_cy_ratio_at
2017,<30,299,1255843.1662,63149.46783089467,53401.52,60525.206366180486,47450,2.5112618414786834,0.4881651860252341,0.3271302346670694,0.5118348139747658,0.13249056815519955,0.028544383202965182,0.05073961935696607,0.1866499522632076,0.6532272373329708,0.23694252238427047,2.612103420509363
2017,30-39,619,2377216.0341,72870.00912157823,68592.68,98085.70257732472,87500,0.9377948866853782,0.49126732987088617,0.31441799980958357,0.5087326701291139,0.14341897183574365,0.033430358225558926,0.05329563965652171,0.18378140565209944,0.28201621637666674,0.1627627765439483,1.052673873172238
2017,40-54,1105,4428778.6727,73376.53033341045,64917.87000000001,99429.11075466691,82475,1.172571095388196,0.4915200462381304,0.31201647805386235,0.5084799537618696,0.14038958549580507,0.03911398268846294,0.054093406985762336,0.18331510475707766,0.39473229148335076,0.2573410031056793,1.2899783179169377
2017,55-64,869,2914616.988,60794.92077960273,53957.9,90834.55010106717,74800,0.9537829895104765,0.4932987922903967,0.2906986547006984,0.5067012077096034,0.15570973198889881,0.046890405600799503,0.050551482259288204,0.19203847768444274,0.29091575738168296,0.16416389623421992,1.0590474027897476
2017,65-74,681,2032005.8994,49343.190627544434,43931.26,67692.0024332706,54500,0.9395400776405467,0.5086768829386406,0.28638324856761804,0.49132311706135945,0.15961531318705863,0.0626783211839639,0.04256013877631144,0.16561727946819713,0.2738415801783959,0.1921908218450705,1.0155707640053715
2017,75+,439,1455798.0718,39088.362145529136,33080.04,50822.07240470361,40100,0.8691637431518504,0.5920675865236488,0.36452431088669873,0.4079324134763512,0.1535188840640406,0.07402439157290944,0.030302628240065268,0.12070157882354063,0.3169032914139748,0.19777476515905534,0.921384920390288
2019,<30,625,1390122.3622,61375.173925756826,56026.44,59075.62443379706,51000,13.337611231464653,0.486917577188174,0.32676272755841057,0.5130824228118259,0.1345981332484725,0.025556716381290926,0.05057003254582641,0.17447100116448203,2.3963475515853014,0.24077421633682997,13.434032542269462
2019,30-39,1290,2695796.9305,76082.31732139822,69181.65,100073.12626313565,89500,1.2448706652053043,0.5244128391359383,0.3338255918145879,0.47558716086406183,0.15991415102293755,0.030673096298412784,0.05129340194570685,0.15860839180253675,0.40863696653770964,0.16772270800804465,1.3680094934102414
2019,40-54,2030,3825989.6273,83296.20165000396,74997.5,119405.44178271719,109500,3.2723214991770377,0.5083043430120526,0.3143248789151035,0.4916956569879474,0.15696967056464925,0.037009793532299856,0.0474833282331271,0.17270423827140988,0.8698810227779279,0.4240486899565072,3.3930328101461864
2019,55-64,1719,3082973.64,70975.66642425884,60540.4,102155.01991765326,84000,1.172037236998607,0.503290246879774,0.2909254983347977,0.49670975312022597,0.16461540122562587,0.047749347319350426,0.043771196735222874,0.17224408047440298,0.34894198232298834,0.20774245012140113,1.2856151460921583
2019,65-74,1427,2129663.63,51423.38742719465,43856.25,69213.79190895981,55000,1.4505170549574782,0.533322084822871,0.29394232342642573,0.46667791517712903,0.17569329252066837,0.0636864688757769,0.03509286314984065,0.15685974945910588,0.3986680096456197,0.22632622748118014,1.5275591879525465
2019,75+,839,1604954,42712.66565012206,35234.84,61017.45688941864,43000,0.9016395041448665,0.5937129207578826,0.3357253974678841,0.4062870792421174,0.1818496928341741,0.0761378304558244,0.03183590788876979,0.13046953166747655,0.2950897697288179,0.14682470530851835,0.9561447416453416
2023,<30,178,1397429.494,68533.32030024593,58230.67,84652.35341355877,71423,1.515914011523839,0.5287549427829638,0.3543174597663826,0.47124505721703625,0.1443047144376174,0.03013276857896373,0.035522565012909395,0.14782684217482048,0.48815814699152305,0.3104151907268937,1.6132339078830071
2023,30-39,610,2624518.0085,82288.05965618834,77874.98,121467.20621835545,102589,1.268908753625722,0.5564646261999654,0.36483709320856167,0.4435353738000346,0.15609750975779102,0.035530023233612686,0.03623473134854751,0.1372294072978041,0.5020792843688703,0.35115753555355345,1.3832594509254772
2023,40-54,1240,4109012.1396,98565.76355257815,90458.82,144131.4694902406,127091,1.7313487448216043,0.5238462650711014,0.31973485562556625,0.47615373492889856,0.16430867173826066,0.03980273770727455,0.03884362180885335,0.15482682196560382,0.6600084271502483,0.37855448343340925,1.5580149322982098
2023,55-64,1182,3128555.8639,76924.39328832604,69339.79,116239.31319099295,97193,1.053390505941013,0.5183420681304975,0.2977549819596115,0.4816579318695024,0.17437555711620328,0.04621152905468275,0.03166144944391526,0.1570341213030278,0.3158794660752355,0.2099522655317499,1.1596612926077936
2023,65-74,1463,2647050.9024,57458.22051118523,46901.91,81827.8614066178,63716,0.9332526466856187,0.5395056668158166,0.3103703820851102,0.4604943331841834,0.1724362524345835,0.056699032296122887,0.026887247641002924,0.14368971437603786,0.28303389978599747,0.21385913914923793,1.0084793813392032
2023,75+,812,1742899.933,45568.14193194363,39800.28,65314.69438827658,49963,0.8442239314837342,0.5945096042066256,0.3428372038282844,0.40549039579337437,0.18527911170366634,0.06639328867467485,0.0224432975001541,0.11980586110325028,0.2795446265921825,0.1722957368927655,0.8971854305599867
