year,region,n,w_sum,mean_tc001,median_tc001,mean_hhtotinc,median_hhtotinc,mean_cy_ratio,mean_share_necessities,mean_share_shelter,mean_share_discretionary,mean_share_food,mean_share_health,mean_share_clothing,mean_share_transport,mean_shelter_over_inc,mean_mortpay_over_inc,mean_cy_ratio_at
2017,BC,400,1923161.4164,69238.1204148799,59049.09,84781.80753364791,73750,1.1722018824233782,0.5139099489413564,0.3128474540272943,0.48609005105864356,0.1489945319800173,0.05206796293404485,0.03970354011482531,0.1758221427120238,0.3861567773816681,0.2667890004970109,1.2935827919598175
2017,ON+QC+MB,1393,9502631.2499,61274.479670155604,53712.2,82151.54233636132,67375,1.0453308546670845,0.5074184203728561,0.31501415593882753,0.4925815796271438,0.14808644060833853,0.04431782382569009,0.05106912444323323,0.17302754808293508,0.33674017333888756,0.20510797799531696,1.1407815067407874
2017,AB+SK,728,2010299.7489,69469.27651035602,62812.34,100772.11571980092,85100,1.505610325959081,0.4911643315616726,0.31004922468727664,0.5088356684383274,0.13791918099907166,0.04319592587532433,0.0488942041993952,0.1873939703199425,0.4005041877376285,0.20388214266849852,1.6130681894212593
2017,Atlantic,1178,1006577.4155,54699.89349525479,46314.74,76351.82471980716,65100,1.2866563649727534,0.4794984276797075,0.2731307536347949,0.5205015723202925,0.15522492731867352,0.05114274672623912,0.04653512092763645,0.1913395489695227,0.3477618956250251,0.14861646820874733,1.384282655589405
2019,BC,824,2018543.94,76390.2479298633,66781.5,92454.94596265763,76000,3.409326409606932,0.5156220469422211,0.3142880269403537,0.484377953057779,0.15385458189608045,0.047479438105786934,0.04405360731502482,0.1638321520959529,0.9922148385021663,0.25008259514329306,3.5207490184512547
2019,ON+QC+MB,2639,9657538.49,65737.67210259326,56461.55,90573.44060844638,75000,3.028546181364395,0.5278977703417107,0.31841044812056635,0.4721022296582893,0.16544845903131722,0.04403886318982707,0.044618041011301325,0.16067615069952984,0.6223073447537064,0.27671108401544264,3.1296979547531203
2019,AB+SK,1364,2005287.72,77033.57100773427,68602.58,110313.42888161704,91000,2.478248776492078,0.5079264187018654,0.3084318549296934,0.49207358129813455,0.15403818760760027,0.045456376164571766,0.0429910194000325,0.16846291275706465,0.8417903565147483,0.30801328036902975,2.5884254838382525
2019,Atlantic,2739,1025256.14,58972.08296477542,51634.62,81392.23357886937,67000,1.411584108809692,0.4940449901127819,0.27640187118623666,0.5059550098872181,0.16714774014357872,0.05049537878296652,0.04294821345813226,0.17715499864231998,0.4413881023690823,0.3414386286298743,1.5135726845699053
2023,BC,715,2177145.6674,81084.79016434221,68100.04,113760.10132679912,85294,1.7097425354197713,0.5517700308095848,0.34967364386088345,0.4482299691904152,0.15781440908672617,0.044281977861975144,0.02912074676907062,0.14707694222090567,0.5638006004062472,0.5190953449786951,1.8120969517915075
2023,ON+QC+MB,1936,10219298.9174,74232.2183127698,65169.96,108544.65672387386,88137,1.212814988317331,0.539687730078298,0.32788536228876664,0.46031226992170204,0.16625599530219545,0.045546372487335854,0.03438477784882369,0.14238436846534996,0.4401219315481007,0.33692010401699274,1.195919963270667
2023,AB+SK,996,2134509.4161,83866.96634518457,74812.7,121559.14231903965,97803,1.054324912468685,0.5382162148997542,0.32269354255605803,0.46178378510024565,0.17120177849082768,0.044320893852868616,0.0299630115933175,0.1529211519559896,0.3374756360855479,0.15148021828230632,1.146018495266387
2023,Atlantic,1546,1092986.1679,66132.31223236707,57085.69,94271.51893803314,78538,1.2839008153352112,0.5117375741669434,0.2816241477872264,0.48826242583305657,0.1824866859978527,0.04762674038186427,0.031179378421248252,0.16290824199012852,0.4395879771790668,0.13203785126410209,1.3712021374681287
